,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
52,옥수수밥,곤약어묵국,두부데리야끼구이,무말랭이,나박김치,S곶감,S미숫가루,돼지고기양배추덮밥,유부대파국,새우살파래전,숙주맛살무침,콜라비나박김치,S귤(50g),S우유(150ml),찹쌀밥,(저염)닭곰탕,짜장닭볶음,애호박나물,총각김치
53,쌀밥(30),팥죽,소고기오이볶음,배무생채,나박김치,S멜론(50g),S우유(100ml),해물볶음밥,채소스프,견과류고구마범벅,empty,오이피클,S치즈,S오렌지주스,밤콩밥,감자옹심이국,삼겹케첩조림,부추나물,오이소박이김치
54,밤찹쌀팥밥,애호박젓국찌개,두부채소굴소스볶음,파프리카유자청무침,백김치,S사과(50g),S우유(200ml),충무김밥+반찬,콩나물국,감자채볶음,(고춧가루제외)부추사과무침,단배추물김치,S단호박찜,S수제바나나우유,찹쌀밥,미역냉국,소고기토마토조림,애호박나물,나박김치
55,달걀버섯볶음밥,맑은장국,감자버터구이,코울슬로,배추김치,S삶은달걀(30g),S단호박식혜,수수밥,애호박국,순살간장닭갈비,아욱나물무침,나박김치,S멜론(50g),S호두우유,찹쌀밥,감자탕,장산적조림,봄동나물,깍두기
56,팥밥,맑은바지락탕,가지달걀말이,팽이버섯나물,총각김치,S사과(50g),S우유(200ml),밤콩밥,두부전골,떡갈비채소볶음,고사리나물,열무물김치,S모닝빵,S오렌지주스,일본식소고기덮밥(규동),맑은장국,고구마스틱,양상추딸기샐러드,백김치
57,찹쌀밥,순두부국,볼어묵조림,애호박건새우볶음,나박김치,S감자죽,empty,소고기가지덮밥,느타리버섯국,김치녹두전,고구마순된장무침,단배추물김치,S모닝빵,S우유(200ml),옥수수밥,맑은양배추국,닭가슴살데리야끼구이,오이무침,백김치
58,가지채소볶음밥,소고기콩나물국,메추리알장조림,느타리버섯나물,깍두기,S참깨우유스프,S쌀음료,밤콩밥,애호박두부젓국,주꾸미채소볶음,미나리초무침,나박김치,S건포도감자볼,S우유(200ml),밤찹쌀팥밥,감자탕,녹두전,근대나물,총각김치
59,옥수수밥,건홍합맑은국,두부채소굴소스볶음,콩나물무침,열무물김치,S오렌지(50g),S식혜,백김치볶음밥,느타리버섯맑은국,치킨너겟+소스,empty,단무지무침,S연두부샐러드(오리엔탈드레싱),S고구마쉐이크,찹쌀밥,만두국,해물찜,애호박나물,비트초절이
60,찹쌀밥(추가),팥죽,해물김치전,팽이버섯부추나물,나박김치,empty,S우유(200ml),수수밥,모듬버섯찌개,소고기청경채볶음,파프리카유자청무침,총각김치,S참외샐러드,S쌀음료,일본식소고기덮밥(규동),두부새우젓국,채소크로켓,부추양파생채,오이소박이김치
61,소고기김주먹밥,empty,시금치스크램블에그,사과연근샐러드,동치미,S볶음현미죽,S사과(50g),율무밥,감자탕,오리주물럭,깻잎나물,열무물김치,S송편,S우유(200ml),잡곡밥,단호박김치국,조기구이,치커리유자청무침,깍두기
62,팥밥,청국장국,치즈달걀찜,고구마순된장무침,총각김치,empty,S토마토주스,소고기가지덮밥,브로콜리스프,채소크로켓,오이무침,나박김치,S참외샐러드,S우유(100ml),찹쌀밥,갈비탕+당면,오징어부추전,애호박건새우볶음,깍두기
