,morning_1,morning_2,morning_3,morning_4,morning_5,amsnack_1,amsnack_2,lunch_1,lunch_2,lunch_3,lunch_4,lunch_5,pmsnack_1,pmsnack_2,dinner_1,dinner_2,dinner_3,dinner_4,dinner_5
201,완두콩밥,버섯부추국,달걀프라이,숙주나물김무침,백김치,S팥죽,S오렌지주스(무가당),방울토마토새우볶음밥,애호박양파국,유자고구마맛탕,empty,깍두기,S연두부샐러드(오리엔탈드레싱),S우유(200ml),찹쌀밥,감자옹심이국,소불고기,애호박당근볶음,백김치
202,찹쌀밥,만두국,애호박건새우볶음,느타리버섯나물,백김치,S사과(50g),S우유(100ml),베이컨채소볶음밥,미소장국,마카로니콘샐러드,채소크로켓,비트초절이,empty,S고구마쉐이크,수수밥(30),김치맑은국,닭찜,고구마순된장무침,깍두기
203,찹쌀밥,김치맑은국,감자어묵볶음,느타리버섯당근볶음,깍두기,S단호박죽,empty,깻잎볶음밥,실파달걀국,비빔만두,empty,비트초절이,S연두부샐러드(오리엔탈드레싱),S우유(200ml),현미밥(40),감자옹심이국,참치채소전,양배추유자청무침,나박김치
204,보리밥(30),시래기된장국,녹두전,진미채무말랭이무침,깻잎김치,S찐옥수수,S오렌지주스(무가당),수수밥,채소스프,돈까스,새싹채소샐러드,깍두기,S백설기,S우유(100ml),율무밥,우렁이된장국,유산슬,김자반,백김치
205,찹쌀밥,만두국,애호박건새우볶음,고구마순된장무침,나박김치,empty,S수제딸기우유,소고기가지덮밥,느타리버섯국,채소크로켓,empty,오이소박이김치,S연두부샐러드(오리엔탈드레싱),S오렌지주스(무가당),수수밥(30),콩나물육개장,오징어브로콜리숙회,우엉조림,백김치
206,옥수수밥(30),북어채국,애호박볶음,다시마감자채전,열무김치,S수제블루베리우유,empty,새우크림스파게티,맑은장국,치킨까스,마카로니채소샐러드(마요네즈),비트초절이,S백설기,S단호박식혜,완두콩밥(30),닭고기곰탕,브로콜리오징어무침,새송이버섯나물,깍두기
207,검정콩밥,두부애호박국,임연수살구이,고구마순된장무침,깍두기,S단팥죽,S우유(100ml),새우버섯덮밥,맑은장국,돌나물유자청무침,empty,콜라비나박김치,S치즈스틱,S오렌지주스,율무밥,콩나물국,훈제오리숙주볶음,배무생채,백김치
208,쌀밥(30),만두국,메추리알장조림,시금치나물,나박김치,S백설기,S우유(100ml),브로콜리채소볶음밥,모듬버섯찌개,뼈없는닭갈비,empty,비트초절이,S건포도감자볼,S수제블루베리우유,찹쌀밥,애호박맑은국,두부강정,팽이버섯나물,깍두기
209,옥수수밥,북어무국,두부양념조림,깻잎나물,백김치,empty,S수제블루베리우유,열무비빔밥,다슬기된장국,군만두,empty,나박김치,S치즈,S바나나(100g),찹쌀밥,팽이버섯맑은국,닭살찹스테이크,양상추샐러드,비트초절이
210,잡곡밥(30),느타리버섯국,주꾸미채소간장볶음,우엉채곤약조림,나박김치,S건포도감자볼,S수제바나나우유,불고기채소비빔밥,미역냉국,아욱건새우전,empty,깍두기,S알리오올리오스파게티,S오렌지주스,율무밥,두부전골,시금치프리타타,콩자반,백김치
211,쌀밥,콩비지맑은국,모듬버섯전,무말랭이,백김치,S오이당근스틱,S우유(200ml),불고기채소비빔밥,우동국물,크래미채소볶음,empty,깍두기,S치즈죽,S토마토주스,잡곡밥,바지락된장국,순살간장닭갈비,연근흑임자샐러드,나박김치
212,옥수수밥(30),만두국,고구마순된장무침,새우채소전,나박김치,S건포도감자볼,S수제딸기우유,돼지고기양배추덮밥,느타리버섯국,돌나물흑임자샐러드,empty,깍두기,S단호박크림리조또,S오렌지주스,찹쌀밥,두부전골,오징어숙회,가지양념찜,백김치
213,쌀밥(추가),김국,소고기모듬장조림,삼색감자채볶음,나박김치,empty,S우유미숫가루,잡곡밥,낙지연포탕,청경채불고기,치커리겉절이,백김치,S팥죽,S사과(35g),현미밥(40),감자탕,두부구이+양념장,브로콜리초고추장무침,깍두기
214,쌀밥(30),만두국,애호박새우젓볶음,검정콩조림,나박김치,S건포도감자볼,S우유(100ml),파프리카유부초밥,미니우동,소떡소떡,empty,나박김치,S단호박크림리조또,S요구르트,밤콩밥,맑은배추국,궁중떡볶이,오이나물,깍두기
215,찹쌀밥,대합미역국,애호박건새우볶음,팽이버섯나물,깍두기,S연두부샐러드(오리엔탈드레싱),S우유(100ml),오리훈제볶음밥,미소장국,채소크로켓,empty,깍두기,S찐감자,S수제바나나우유,팥밥,두부전골,소고기청경채볶음,느타리버섯무침,백김치
216,쌀밥,만두국,달걀말이,팽이버섯나물,나박김치,S단호박죽,S우유(100ml),닭살카레감자밥+양념장,무된장국,돌나물흑임자샐러드,empty,깍두기,S참외샐러드,S우유(100ml),팥밥,호박국,주꾸미채소간장볶음,우엉조림,오이소박이김치
217,옥수수밥(30),만두국,안매운참치김치볶음,부추사과무침,깍두기,S백설기,S우유(150ml),버섯덮밥,두부전골,닭가슴살샐러드(머스타드소스),empty,깍두기,S찐감자,S수제바나나우유,찹쌀밥,콩나물육개장,가자미살구이,애호박볶음,나박김치
218,흑미밥(40),들깨감자국,굴비구이,양배추볶음,깍두기,S연두부샐러드(오리엔탈드레싱),S우유(150ml),찹쌀팥밥,두부찌개,훈제오리무침,브로콜리숙회(흑임자소스),백김치,S늙은호박죽,S포도주스,수수밥(40),바지락맑은국,닭피망볶음,얼갈이무침,나박김치
219,옥수수밥,달걀국,고구마순된장무침,참치피망볶음,단배추물김치,S토마토스크램블에그,S수제바나나우유,찹쌀밥,대합미역국,돈까스,돌나물유자청무침,나박김치,S크림소스스파게티,S오렌지주스,쌀밥(추가),버섯개장,동태포전,비름나물,백김치
220,찹쌀밥,미역국,삼색채소달걀찜,무말랭이무침,백김치,S연두부샐러드(오리엔탈드레싱),S토마토주스,불고기채소비빔밥,우동국물,연근흑임자샐러드,empty,깍두기,S송편,S우유(100ml),잡곡밥,올갱이된장국,두부채소굴소스볶음,콩나물무침,단배추물김치
221,잡곡밥(30),감자채맑은국,순살된장닭볶음,파프리카유자청무침,백김치,S당근스프,S쌀음료,찹쌀밥(추가),순두부백탕,너비아니채소볶음,얼갈이무침,나박김치,S참외샐러드,S수제블루베리바나나우유,찹쌀팥밥,매생이수제비국,주꾸미채소간장볶음,고구마줄기볶음,깍두기
222,쌀밥(추가),두부대합탕국,조기구이,느타리버섯나물,나박김치,S사과(50g),S우유(100ml),카레라이스,달걀파국,군만두,양상추샐러드,깍두기,empty,S수제블루베리우유,밤콩밥,애호박두부된장국,닭가슴살채소말이조림,미나리숙주나물,백김치
223,옥수수밥(30),만두국,건새우두부조림,가지양념찜,나박김치,S연두부샐러드(오리엔탈드레싱),S우유(150ml),소불고기덮밥,느타리버섯맑은국,오징어브로콜리숙회,empty,깍두기,S알리오올리오스파게티,S오렌지주스(무가당),찹쌀밥,닭살미역국,조기구이,감자채볶음,나박김치
224,수수밥,소고기미역국,건새우애호박볶음,파프리카유자청무침,백김치,S오렌지(50g),empty,열무비빔밥,두부된장찌개,고등어구이,empty,단배추물김치,S건포도감자볼,S수제블루베리우유,팥밥,모듬버섯찌개,삼겹케첩조림,무미역생채,백김치
225,수수밥,모시조개국,어묵채소볶음,얼갈이나물,나박김치,S팥죽,S쌀음료,깻잎볶음밥,달걀파국,닭봉구이,empty,깍두기,S연두부샐러드(오리엔탈드레싱),S우유(200ml),현미밥,김치맑은국,소고기양배추조림,연근감자전,석박지
226,찹쌀밥,꽃게된장국,메추리알장조림,호박고지나물,백김치,S백설기,S오렌지주스(무가당),브로콜리채소볶음밥,모듬버섯찌개,비빔만두,S떠먹는요구르트(100ml),깍두기,S건포도감자볼,S수제바나나우유,팥밥(30),배추당면국,돼지고기두루치기,상추쌈,나박김치
227,수수밥(30),연두부게살스프,달걀장조림,연근흑임자샐러드,깍두기,S팥죽,S요구르트,오징어굴소스볶음밥,무채국,파프리카유자청무침,만두탕수,비트초절이,empty,S수제블루베리바나나우유,찹쌀밥(추가),애호박맑은국,돼지고기스테이크조림,감자버터구이,나박김치
228,팥밥(30),동태살무국,연두부찜,느타리버섯나물,나박김치,S감말랭이,S떠먹는요구르트(100ml),소고기잡채덮밥,부추맑은국,돌나물흑임자샐러드,empty,비트초절이,S사과(50g),S우유(150ml),옥수수밥(30),모듬버섯찌개,닭가슴살데리야끼조림,양배추마요무침,깍두기
229,밤콩밥(30),김치두부국,돼지고기장조림,참나물겉절이,나박김치,S참외샐러드,S우유(200ml),소고기굴소스볶음밥,미니우동,마카로니채소샐러드(마요네즈),채소크로켓,비트초절이,S단호박크림리조또,S오렌지주스(무가당),현미밥,청국장국,주꾸미채소간장볶음,양배추유자청무침,열무물김치
230,팥밥(30),달걀파국,대구살조림,팽이버섯나물,나박김치,S바람떡,S오렌지주스(무가당),브로콜리채소볶음밥,무채국,뼈없는닭갈비,empty,열무물김치,S감자채요거트샐러드,S수제바나나우유,찹쌀밥(추가),만두국,매생이육전,건새우애호박볶음,백김치
231,수수밥,숙주맑은국,단호박달걀찜,팽이버섯볶음,단배추물김치,S연두부샐러드(오리엔탈드레싱),S우유(200ml),찹쌀팥밥,새우두부탕국,치킨까스,브로콜리흑임자소스무침,깍두기,S온도토리묵밥,empty,검정콩밥,무된장국,깻잎달걀말이,느타리버섯나물,백김치
232,팥밥(30),애호박맑은국,가자미살구이,콩나물무침,깍두기,empty,S수제블루베리우유,파프리카유부초밥,만두국,고구마샐러드,empty,나박김치,S백설기,S오렌지주스(무가당),찹쌀밥(추가),표고버섯탕,닭다리살장조림,무사과무침,열무물김치
233,잡곡밥,콩나물국,메추리알곤약조림,연근흑임자샐러드,단배추물김치,S단팥죽,empty,찹쌀팥밥,호박국,닭안심사과볶음,얼갈이배추겉절이,나박김치,S연두부샐러드(오리엔탈드레싱),S우유(150ml),밤콩밥,돼지사골국,봄동나물,감자부추전,깍두기
234,콩밥,두부대합탕국,참치달걀말이,돌나물오이무침,열무물김치,S바나나(50g),S떠먹는요구르트(100ml),쌀밥(30),갈비탕+당면,도토리묵무침,양파링튀김,깍두기,S건포도감자볼,S우유(100ml),쌀밥,닭살미역국,(고춧가루제외)고등어조림,단배추나물,비트초절이
235,검정콩밥,두부장국,채소스크램블에그,파프리카유자청무침,나박김치,S대추우유스프,empty,햄김치볶음밥,감자양파국,닭가슴살샐러드(머스타드소스),empty,깍두기,S오렌지(50g),S우유(200ml),찹쌀팥밥,소고기미역국,가자미조림,브로콜리채소볶음,석박지
236,고구마밥(40),두부맑은국,새우살볶음,미역초무침,백김치,S사과(50g),S우유(100ml),파프리카유부초밥,만두국,게살마요무침,배무생채,백김치,S수제비,empty,찹쌀밥(추가),버섯맑은국,닭다리살소스조림,양상추샐러드(발사믹드레싱),나박김치
237,쌀밥(추가),감자채맑은국,메추리알곤약조림,오이볶음,나박김치,S단팥죽,empty,닭살채소볶음밥,콩나물국,오징어링튀김,사과오렌지샐러드(요거트드레싱),깍두기,S바나나(50g),S우유(150ml),밤콩밥(40),꽃게탕,두부채소전,브로콜리참깨무침,열무김치
238,찹쌀밥,만두국,우엉채어묵조림,고구마순된장무침,나박김치,S깨죽,S귤(50g),멸치주먹밥,미니우동,메추리알마요네즈샐러드,empty,깍두기,S건포도감자볼,S우유(150ml),수수밥(30),애호박맑은국,미트볼피망조림,느타리버섯나물,단배추물김치
239,수수밥(40),떡국,돼지고기장조림,브로콜리깨소스무침,깍두기,S으깬견과류고구마샐러드(요거트),S오렌지주스(무가당),소고기무밥+양념장,버섯부추국,채소크로켓,파프리카유자청무침,비트초절이,S연두부샐러드(오리엔탈드레싱),S우유(200ml),옥수수밥,두부전골,게살스크램블에그,사과상추무침,백김치
240,수수밥(30),바지락맑은국,소고기청경채볶음,깻잎나물,깍두기,S고구마경단,S우유(100ml),안매운마파두부덮밥,애호박맑은국,돌나물유자청무침,empty,콜라비나박김치,S마카로니채소샐러드,S수제바나나우유,옥수수밥,대구살맑은국,차돌숙주볶음,고구마순된장무침,백김치
241,옥수수밥(30),미역만두국,검정콩조림,배무생채,백김치,S건포도감자볼,S우유(200ml),일본식소고기덮밥(규동),느타리버섯국,배추전,empty,깍두기,S크림소스스파게티,empty,찹쌀밥,두부전골,닭살브로콜리볶음,연근흑임자샐러드,백김치
242,찹쌀밥(추가),두부탕국,돼지고기장조림,양배추샐러드(참깨드레싱),깍두기,S게살치즈죽,S사과(50g),현미찹쌀밥,낙지연포탕,청경채불고기,치커리겉절이,백김치,S연두부샐러드(오리엔탈드레싱),S우유(150ml),현미찹쌀밥,감자탕,달걀숙주냉채,애호박전,나박김치
243,쌀밥(추가),순두부국,새우살연근조림,브로콜리깨소스무침,백김치,S바나나(50g),S떠먹는요구르트(100ml),취나물표고영양밥,바지락맑은국,참치깻잎전,empty,나박김치,S백설기,S호두우유,수수밥(40),콩가루쑥국,닭찜,참나물배겉절이,비트초절이
244,밤콩밥(30),온청포묵국,소고기장조림,고구마줄기볶음,나박김치,S당근스프,S귤(50g),돼지고기양배추덮밥,느타리버섯국,오징어브로콜리숙회,empty,깍두기,S당근두부스넥,S수제블루베리우유,찹쌀밥,만두닭개장,파래전,애호박나물,백김치
245,찹쌀밥,감자채맑은국,메추리알장조림,오이볶음,나박김치,S단팥죽,S오렌지주스(무가당),돼지고기김치비빔밥,콩나물국,궁중떡볶이,그린샐러드,깍두기,S연두부샐러드(오리엔탈드레싱),S우유(200ml),밤콩밥(40),재첩국,훈제오리구이,파프리카유자청무침,백김치
246,수수밥(40),순두부백탕,새우채소볶음,브로콜리깨소스무침,백김치,S참외샐러드,S우유(100ml),밤콩밥,북어미역국,삼겹케첩조림,팽이버섯부추나물,단배추물김치,S온도토리묵밥,empty,쌀밥(추가),수제비국,닭안심사과볶음,양상추유자청무침,깍두기
247,잡곡밥,새우젓국찌개,팽이버섯달걀전,양배추쌈장무침,나박김치,S대추우유스프,empty,게살볶음밥,무채국,비빔만두,empty,단배추물김치,S푸실리샐러드,S우유(200ml),고구마밥,맑은동태찌개,떡갈비간장조림,상추달래겉절이,백김치
248,옥수수밥(30),느타리버섯국,부추달걀볶음,우엉채곤약조림,나박김치,S고구마샐러드(마요네즈),S수제딸기우유,돼지고기양배추덮밥,두부전골,오징어숙회,empty,깍두기,S크림소스스파게티,S보리차,찹쌀밥,김치맑은국,흰살생선전,취나물무침,깍두기
249,찹쌀밥(추가),조랭이떡미역국,맛살스크램블에그,고구마순된장무침,백김치,S모닝빵,S오렌지주스(무가당),소고기가지덮밥,유부김치국,파프리카유자청무침,채소크로켓,비트초절이,S연두부샐러드(오리엔탈드레싱),S수제딸기우유,팥밥(30),대구탕,닭날개간장조림,팽이버섯나물,단배추물김치
250,팥밥(30),두부장국,달걀프라이,애호박건새우볶음,백김치,S소고기우엉죽,S단호박식혜,브로콜리채소볶음밥,재첩국,베이컨채소말이,empty,비트초절이,S바나나(50g),S떠먹는요구르트(100ml),밤콩밥,만두국,참치채소전,콩나물무침,나박김치
251,옥수수밥,김국,깻잎달걀말이,고구마순된장무침,석박지,S찐고구마,S복숭아호두스무디,봄나물비빔밥,매생이수제비국,소고기육전,empty,나박김치,S삶은달걀(50g),S우유(100ml),쌀밥,건새우무국,주꾸미채소간장볶음,콩나물무침,비트초절이
252,찹쌀밥(30),느타리버섯국,미트볼피망조림,시금치나물,총각김치,S감자샐러드,S단호박식혜,굴소스닭가슴살덮밥,모듬버섯찌개,돌나물흑임자샐러드,empty,비트초절이,S치즈스틱,S고구마쉐이크,팥밥,만두국,(고춧가루제외)고등어조림,건파래자반,열무물김치
253,고구마밥(40),조갯살부추맑은국,우엉잡채,참나물볶음,오이소박이김치,S바나나(50g),S떠먹는요구르트(100ml),소고기카레라이스,무채국,군만두,empty,단무지,S마카로니채소샐러드,S수제바나나우유,옥수수밥,감자국,순살닭볶음탕,얼갈이나물,백김치
254,찹쌀밥(30),만두국,두부스테이크,우엉채곤약조림,나박김치,S팥죽,S우유(100ml),닭살데리야끼덮밥,미소장국,파프리카쌈장무침,empty,비트초절이,S연두부샐러드(오리엔탈드레싱),S수제블루베리바나나우유,수수밥,갈비탕,감자채전,고구마순된장무침,깍두기
255,수수밥(40),애호박맑은국,(저염)달걀장조림,오이파프리카무침,나박김치,S복숭아(황도)-80g,S우유(150ml),닭살카레감자밥+양념장,느타리버섯국,오징어초무침,춘권튀김,비트초절이,S채소전,S단호박식혜,밤콩밥,두부된장찌개,소고기청경채볶음,상추쌈,백김치
256,밤찹쌀팥밥(40),배추당면국,두부채소굴소스볶음,가지양념찜,깍두기,S인절미,S우유(150ml),돼지고기양배추덮밥,호박맑은국,해물부추전,empty,나박김치,S연두부샐러드(오리엔탈드레싱),S수제블루베리우유,찹쌀밥,무된장국,훈제오리구이,브로콜리나물,콜라비나박김치
257,수수밥(40),연두부게살스프,파프리카달걀말이,느타리버섯나물,나박김치,S바나나(100g),S우유(100ml),토마토스파게티,당근스프,감자버터구이,연근흑임자샐러드,비트초절이,S삶은달걀(50g),S오렌지주스,쌀밥,배추맑은국,가자미살구이,숙주나물무침,백김치
258,완두콩밥,맑은순두부국,팽이버섯달걀전,오이무침,나박김치,S단호박죽,S수제블루베리우유,새우파래볶음밥,감자옹심이국,치킨텐더샐러드(머스타드드레싱),empty,비트초절이,S건포도감자볼,S우유(150ml),율무밥,버섯부추국,소불고기,파프리카유자청무침,깍두기
259,밤콩밥(30),두부장국,갈치구이,브로콜리숙회,석박지,S감자샐러드,S단호박식혜,돼지고기양배추덮밥,실파달걀국,녹두전,empty,나박김치,S연두부샐러드(오리엔탈드레싱),S고구마쉐이크,잔멸치주먹밥,미니유부우동,치즈닭갈비,empty,비트초절이
260,옥수수밥(30),애호박새우젓국,으깬두부채소전,우엉채곤약조림,깻잎김치,S건포도감자볼,S우유(200ml),소고기채소볶음밥,느타리버섯국,녹두전,empty,비트초절이,S알리오올리오스파게티,S딸기(100g),찹쌀밥,맑은동태찌개,주꾸미채소간장볶음,봄동무침,총각김치
261,밤콩밥,두부장국,갈치구이,브로콜리숙회,석박지,S감자샐러드,S오렌지주스,돼지고기양배추덮밥,실파달걀국,새우살파래전,empty,나박김치,S연두부샐러드(오리엔탈드레싱),S우유(100ml),잔멸치주먹밥,미니유부우동,치즈닭갈비,empty,비트초절이
262,수수밥(30),감자맑은된장국,(저염·저당)소고기장조림,연두부샐러드(오리엔탈드레싱),백김치,S오이당근스틱,S수제블루베리우유,깻잎누드롤,채소스프,미니돈까스,파프리카유자청무침,깍두기,S달걀채소죽,S쌀음료,브로콜리채소볶음밥,조갯살된장찌개,가자미찹쌀구이,무생채,열무김치
263,찹쌀밥(30),애호박맑은국,새우살케첩볶음,고구마순된장무침,백김치,S찐옥수수,S우유미숫가루,베이컨주먹밥,팽이장국,우엉채곤약조림,채소크로켓,비트초절이,S사과(100g),S떠먹는요구르트(100ml),팥밥,홍합무국,참치채소전,냉이무침,단배추물김치
264,수수밥(30),대구탕,달걀장조림,무말랭이,나박김치,S백설기,S오렌지주스(무가당),미나리불고기덮밥,애호박맑은국,해물김치전,empty,비트초절이,S마카로니채소샐러드,S우유(200ml),쌀밥,맑은오징어무국,후르츠탕수육,도토리묵무침,나박김치
265,찹쌀밥,느타리버섯국,소불고기,콩나물무침,콜라비나박김치,S찐감자,S검은깨두유(100ml),브로콜리채소볶음밥,다시마감자국,닭봉구이,양배추샐러드,비트초절이,S바나나사과키위샐러드,S우유(150ml),팥밥,두부전골,주꾸미채소간장볶음,배무생채,석박지
266,수수밥(30),만두국,건새우애호박볶음,팽이버섯나물,백김치,S소고기우엉죽,S우유(100ml),오징어김치볶음밥,실파달걀국,채소크로켓,empty,비트초절이,S찐고구마,S수제바나나우유,밤콩밥,매생이두부국,닭봉조림,콩나물무침,총각김치
267,찹쌀밥,맑은배추국,삼치간장조림,고구마순된장무침,나박김치,S건포도감자볼,S오렌지주스(무가당),잔멸치주먹밥,카레볶음우동,연근흑임자샐러드,empty,비트초절이,S치즈스틱,S우유(100ml),팥밥(30),순두부찌개,너비아니조림,당근숙주나물,깍두기
268,잡곡밥,배추맑은국,달걀말이,우엉채곤약조림,백김치,바나나사과키위샐러드,S우유(100ml),새우간장덮밥,두부미소장국,양상추샐러드,empty,콜라비나박김치,S삶은달걀(50g),S고구마쉐이크,쌀밥,낙지연포탕,닭다리살피망볶음,느타리버섯나물,백김치
269,찹쌀밥(추가),무채양파국,햄참치채소전,건새우애호박볶음,백김치,S찐고구마,S우유(200ml),채소볶음밥,모시조개국,훈제오리구이,empty,콜라비나박김치,S알리오올리오스파게티,S식혜,수수밥,채소스프,돈까스,양상추샐러드,깍두기
270,밤콩밥,연두부맑은국,닭살데리야끼구이,삼색감자채볶음,백김치,S오렌지(50g),S우유(150ml),열무비빔밥,강된장,동태포전,empty,나박김치,S과일샐러드(요거트드레싱),S검은깨두유(100ml),찹쌀밥,재첩국,두부탕수,양상추샐러드(오리엔탈드레싱),비트초절이
271,팥밥(40),만두국,미트볼피망조림,팽이버섯나물,열무물김치,S게살죽,S둥글레차,브로콜리채소볶음밥,다시마감자국,뼈없는닭갈비,토마토치즈샐러드,비트초절이,S건포도감자볼,S우유(150ml),밤콩밥,모듬버섯찌개,두부잡채,우엉채곤약조림,오이소박이김치
272,쌀밥(30),두부맑은국,새우달걀말이,미역초무침,나박김치,S송편,S단호박식혜,소고기굴소스볶음밥,맑은가쓰오부시장국,오징어브로콜리숙회,empty,석박지,S참외(100g),S우유(200ml),현미밥,조갯살된장국,감자돼지갈비찜,얼갈이배추겉절이,깍두기
273,옥수수밥(30),두부콩나물국,감자조림,김구이,백김치,S연두부샐러드(오리엔탈드레싱),S우유미숫가루,꼬마김밥,미니우동,베이컨채소말이,empty,나박김치,S알리오올리오스파게티,S레몬주스,찹쌀밥,만두닭개장,아욱건새우전,콩나물무침,깍두기
274,팥밥(30),애호박맑은국,간장두부조림,고구마순된장무침,나박김치,S건포도감자볼,S수제딸기우유,흑미밥,당근스프,새우까스,그린샐러드,비트초절이,S팥죽,S오미자차,찹쌀밥,안매운돼지고기김치찌개,달걀프라이,팽이버섯볶음,깍두기
275,수수밥(40),감자국,(저염·저당)소고기장조림,느타리버섯나물,총각김치,S연두부샐러드(오리엔탈드레싱),S우유(200ml),가지채소볶음밥,맑은닭개장,주꾸미채소볶음,empty,깍두기,S단호박크림리조또,S오렌지주스(무가당),밤찹쌀팥밥,감자탕,해물김치전,열무볶음,오이소박이김치
276,팥밥(30),무된장국,가자미살구이,우엉채곤약조림,나박김치,S바나나사과키위샐러드,S우유(150ml),소고기김주먹밥,우동국물,궁중떡볶이,empty,비트초절이,S증편,S식혜,찹쌀밥(추가),만두국,미트볼피망조림,건새우애호박볶음,백김치
277,팥찹쌀밥(30),애호박두부젓국,팽이버섯달걀전,고구마순된장무침,총각김치,S감자샐러드,S수제바나나우유,돼지고기양배추덮밥,느타리버섯맑은국,떡갈비간장조림,empty,단배추물김치,S알리오올리오스파게티,S오렌지주스(무가당),찹쌀밥,곤약어묵국,닭살양배추볶음,브로콜리나물,열무물김치
278,팥밥(40),바지락국,애호박생선살찜,가지구이무침,콜라비나박김치,S연두부샐러드(오리엔탈드레싱),S우유(200ml),파프리카유부초밥,미니우동,치킨너겟+소스,양상추샐러드,비트초절이,S찐고구마,S토마토주스,율무밥,감자양파국,돼지고기데리야끼조림,브로콜리무침,깍두기
279,옥수수밥(30),콩나물국,참치달걀말이,애호박나물,열무물김치,S치즈,S복숭아호두스무디,찹쌀밥,호박감자수제비,토마토소스닭조림,양념가지찜,깍두기,S모닝빵+딸기잼,S오렌지주스(무가당),김가루주먹밥,미니유부우동,닭가슴살채소말이조림,empty,열무김치
280,율무밥(30),만두국,두부조림,참나물배겉절이,깍두기,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,카레라이스,콩나물국,춘권튀김,양상추유자청무침,콜라비나박김치,S찐감자,S우유(100ml),율무밥,안매운참치김치찌개,청경채도토리묵무침,느타리버섯무침,비트초절이
281,잡곡밥(40),맑은순두부국,메추리알장조림,취나물무침,나박김치,S사과(100g),S우유(200ml),가지채소볶음밥,아욱맑은국,단호박해물찜,새싹채소샐러드,비트초절이,S버섯브로콜리채소죽,S식혜,찹쌀밥(추가),삼계탕,다시마감자채전,고구마줄기볶음,열무물김치
282,옥수수밥(30),어묵국,두부채소굴소스볶음,브로콜리무침,깍두기,S블루베리(50g),S떠먹는요구르트(100ml),오므라이스,미니우동,닭가슴살샐러드(머스타드소스),empty,비트초절이,S찐감자,S수제바나나우유,수수밥,버섯샤브샤브,주꾸미채소간장볶음,파프리카유자청무침,총각김치
283,검정콩밥(40),실파콩나물국,삼색달걀찜,감자채피망볶음,나박김치,S브로콜리죽,S단호박식혜,장조림버터비빔밥,맑은가쓰오부시장국,도토리묵상추무침,S떠먹는요구르트(100ml),열무물김치,S바나나사과키위샐러드,S우유미숫가루,찹쌀밥,두부장국,돼지고기짜장볶음,참나물겉절이,석박지
284,옥수수밥(30),떡만두국,건새우애호박볶음,무말랭이무침,나박김치,S삶은달걀(30g),S검은콩우유(100ml),버섯영양밥+양념장,실파맑은국,군만두,파프리카유자청무침,비트초절이,S건포도감자볼,S수제블루베리우유,수수밥,맑은양배추국,소고기등심버섯불고기,가지양념찜,깍두기
285,수수밥(30),소고기당면국,감자어묵볶음,양상추유자청무침,석박지,S연두부샐러드(오리엔탈드레싱),S우유(100ml),주꾸미미나리볶음밥,유부김치국,채소크로켓,배무생채,나박김치,S사과(50g),S수제블루베리우유,찹쌀팥밥,모듬버섯찌개,떡갈비채소볶음,세발나물,백김치
286,밤콩밥(30),버섯당면국,연두부찜,파프리카유자청무침,열무물김치,S감자샐러드,S우유(100ml),안매운김치볶음밥,단호박맑은국,군만두,사과오렌지샐러드(요거트드레싱),비트초절이,S크림소스스파게티,S매실주스,찹쌀밥(추가),두부전골,해물부추전,무미역생채,나박김치
287,밤콩밥(40),감자채맑은국,메추리알곤약조림,오이볶음,열무김치,S단팥죽,S쌀음료,돼지고기김치비빔밥,콩나물국,새우살파래전,양상추샐러드,나박김치,S백설기,S우유미숫가루,밤콩밥,안매운순두부찌개,닭안심사과볶음,얼갈이배추겉절이,비트초절이
288,찹쌀밥(30),만두국,미트볼피망조림,고구마순된장무침,나박김치,S게살죽,S매실차,두부베이컨볶음밥,멸치장국,양상추유자청무침,채소크로켓,깍두기,S건포도감자볼,S우유(150ml),팥밥(40),감자탕,김치전,콩나물찜,비트초절이
289,수수밥,김국,궁중떡볶이,우엉채곤약조림,콜라비나박김치,S연두부샐러드(오리엔탈드레싱),S수제바나나우유,닭살카레감자밥+양념장,무채국,찐만두,애호박건새우볶음,비트초절이,S삶은달걀(50g),S오렌지주스(무가당),밤콩밥,닭곰탕,참치채소전,두부톳무침,깍두기
290,감자밥(30),맑은배추국,온두부찜,오이무침,나박김치,S단팥죽,S우유(100ml),연두부볶음밥,실파달걀국,돼지고기짜장볶음,양상추샐러드,비트초절이,S참외샐러드,S우유미숫가루,옥수수밥,애호박맑은국,닭살표고버섯볶음,브로콜리조갯살전,깍두기
291,옥수수밥(40),맑은순두부국,느타리버섯나물,고구마순된장무침,비트초절이,S백설기,S오렌지주스(무가당),돼지고기양배추덮밥,감자달걀국,튀김만두+초간장,파프리카유자청무침,나박김치,S연두부샐러드(오리엔탈드레싱),S우유(200ml),찹쌀밥,콩나물육개장,주꾸미채소간장볶음,가지양념찜,총각김치
292,밤콩밥(30),맑은바지락탕,시금치프리타타,우엉채곤약조림,열무물김치,S건포도감자볼,S우유(100ml),찹쌀밥,브로콜리스프,돈까스+소스,양배추샐러드,깍두기,S찐고구마,S수제딸기우유,율무밥,온청포묵국,토마토소스닭조림,배무생채,단배추물김치
