name,ingredient,weight,category,note
,두부,40,,
,"설탕, 백설탕",5,,
,우유,80,,
S호두우유,우유,200,우유(간식),양식
,"호두, 볶은것",5,,
S검은깨두유(100ml),"두유, 검은콩, 검은참깨",100,음료(간식),양식
S검은깨두유(150ml),"두유, 검은콩, 검은참깨",150,음료(간식),양식
S검은깨두유(200ml),"두유, 검은콩, 검은참깨",200,음료(간식),양식
S검은콩우유(100ml),"두유, 검은콩",100,음료(간식),양식
S검은콩우유(150ml),"두유, 검은콩",150,음료(간식),양식
S검은콩우유(200ml),"두유, 검은콩",200,음료(간식),양식
S과일연두부스무디,"두부, 연두부",40,음료(간식),한식
,"사과, 부사(후지), 생것",20,,
,"오렌지, 생것",20,,
,물엿,5,,
S두유(100ml),"두유, 대두",100,음료(간식),양식
S두유(150ml),"두유, 대두",150,음료(간식),양식
S두유(200ml),"두유, 대두",200,음료(간식),양식
S베지밀,"두유, 대두",200,음료(간식),한식
S콩두유,"두유, 콩국물, 소금 0.3%",200,음료(간식),양식
S간장닭강정,"닭고기, 가슴(껍질 제거), 생것",25,일품(간식),한식
,"밀, 튀김가루",7,,
,콩기름,3,,
,"달걀, 생것",5,,
,"간장, 개량, 양조",3,,
,"마늘, 구근, 생것",1,,
,"설탕, 백설탕",0.2,,
,소금,0.2,,
,"후추, 검은후추, 가루 ",0.1,,
S닭강정,"닭고기, 가슴(껍질 제거), 생것",25,일품(간식),한식
,"밀, 튀김가루",7,,
,콩기름,3,,
,"달걀, 생것",5,,
,굴 소스,2.5,,
,"토마토 소스, 케첩",5,,
,"마늘, 구근, 생것",1,,
,"설탕, 백설탕",0.2,,
,소금,0.2,,
,"후추, 검은후추, 가루 ",0.1,,
S동태전,"명태, 동태, 냉동",30,일품(간식),한식
,"달걀, 생것",5,,
,"밀, 부침가루",3,,
,콩기름,1.5,,
,"후추, 검은후추, 가루 ",0.1,,
,소금,0.1,,
S두부,두부,40,일품(간식),한식
S삶은달걀(30g),"달걀, 삶은것",30,일품(간식),양식
S삶은달걀(50g),"달걀, 삶은것",50,일품(간식),양식
S스크램블에그(버터),"달걀, 생것",30,일품(간식),양식
,버터,2,,
,소금,0.2,,
,우유,5,,
S스크램블에그,"달걀, 생것",30,일품(간식),양식
,우유,10,,
,콩기름,1,,
,소금,0.2,,
,"후추, 검은후추, 가루 ",0.1,,
S시금치스크램블에그,"달걀, 생것",30,일품(간식),양식
,"시금치, 생것",10,,
,우유,10,,
,콩기름,1,,
,소금,0.2,,
,"후추, 검은후추, 가루 ",0.1,,
S연두부+양념장,"두부, 연두부",70,일품(간식),한식
,"간장, 개량, 양조",1,,
,"파, 쪽파, 생것",0.5,,
,"참깨, 흰깨, 볶은것",0.2,,
,참기름,0.5,,
S치즈스크램블에그,"달걀, 생것",30,일품(간식),양식
,"치즈, 체다",10,,
,콩기름,1,,
,소금,0.2,,
,"후추, 검은후추, 가루 ",0.1,,
S치즈스틱,"치즈, 모짜렐라",40,일품(간식),양식
,콩기름,2,,
S토마토스크램블에그,"토마토, 방울토마토, 생것",70,일품(간식),양식
,"달걀, 생것",30,,
,우유,15,,
,콩기름,1.5,,
,소금,0.2,,
,"후추, 검은후추, 가루 ",0.1,,
S(가공)소고기스프,"스프, 소고기 스프, 가루 ",15,수프(간식),양식
S(가공)크림스프,"스프, 크림 스프, 가루 ",15,수프(간식),양식
S가지두부죽,"가지, 생것",15,수프(간식),한식
,참기름,1.2,,
,소금,0.2,,
,두부,10,,
,"멥쌀, 백미, 생것",25,,
S가지죽,"가지, 생것",15,수프(간식),한식
,참기름,1.2,,
,소금,0.2,,
,"멥쌀, 백미, 생것",25,,
S감자된장죽,"감자, 대지, 생것",15,수프(간식),한식
,참기름,1.2,,
,"된장, 재래",1,,
,"멥쌀, 백미, 생것",25,,
S감자우유죽,"감자, 대지, 생것",15,수프(간식),한식
,"멥쌀, 백미, 생것",20,,
,우유,50,,
,"양파, 생것",5,,
,소금,0.2,,
,참기름,1.2,,
S감자죽,"감자, 대지, 생것",15,수프(간식),한식
,"멥쌀, 백미, 생것",20,,
