,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (BetaCarotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"오렌지 음료, 캔",과일류,41,0.06,0.01,11.4,0,2,0.01,10,0,138,0,0.004,15.65,1,0
"오렌지 주스, 가당",과일류,34,0.5,0.04,8.94,1.8,32,0.07,1,0,6,0.044,0.019,44.12,9.53,4.06
"오렌지 주스, 가당, 칼슘강화",과일류,48,0.7,0.1,12.4,0,94,0.4,2,0,55,0.07,0.04,42,0,0
"오렌지 주스, 무가당",과일류,39,0.66,0.05,10.04,2.3,12,0.08,2,0,12,0.062,0.013,58.76,12.04,4.77
"오렴자(카람볼라), 생것",과일류,30,0.7,0.1,7.5,1.8,5,0.2,1,0,64,0.03,0.02,12,48,8
"오미자, 생것",과일류,81,2.1,3.3,12.8,0,21,0.7,1,0,6,0.08,0.04,0,0,0
"오미자, 말린것",과일류,362,8.5,13.5,61.3,31.3,59,2.3,4,0,23,0.19,0.26,0,0,0
"오미자 농축액, 당절임",과일류,259,0.1,0,64.6,0,17,5.1,8,0,2,0.03,0.21,11,0,0
"올리브 피클, 검정색(완숙)",과일류,118,0.8,12.3,3.4,2.5,68,0.8,640,0,0,0.05,0.06,0,570,100
"올리브 피클, 초록색(미숙)",과일류,137,1.09,12.36,5.34,0,151,0.77,1625,0,246,0.095,0,0.25,607.25,127.49
"용과, 백육종, 생것",과일류,44,1,0.4,10.3,0,6,0.3,1,0,15,0.08,0.03,7,0,0
"용과, 적육종, 생것",과일류,45,0.9,0.2,11.2,0,11,0.2,2,0,19,0.08,0.03,9,0,0
"용과, 황색종, 생것",과일류,54,1,0.1,13.9,0,10,0.5,1,0,8,0.08,0.03,4,0,0
"유자, 과육, 생것",과일류,40,0.87,0.06,10.28,5.9,32,0.15,2,0,3,0,0.042,50.77,16.8,14.83
"유자, 전체, 생것",과일류,49,0.93,0.09,12.54,8.2,36,0.16,3,0,8,0.153,0.047,95.03,28.84,21.3
"유자, 껍질, 생것",과일류,55,1.02,0.09,14.21,7.9,35,0.16,3,0,14,0.389,0.035,104.74,31.56,20.17
"유자 농축액, 당절임",과일류,243,0.5,0,60.2,0,17,0.5,15,0,5,0.06,0.16,60,0,0
"으름, 생것",과일류,158,2,12.9,11.9,0,6,3.4,0,0,39,0.06,0.04,31,0,0
"자두, 생것",과일류,26,0.5,0.6,5.3,0,3,0.2,1,0,0,0.04,0.03,5,0,0
"자두, 말린것",과일류,221,2.8,0,58.7,0,42,1.8,29,0,98,0.16,0.27,21,0,0
"자두, 대석, 생것",과일류,32,0.6,0,8.4,0.5,6,0.4,11,0,24,0.09,0.03,7,0,0
"자두, 솔담, 생것",과일류,0,0,0,0,2.1,6,0.4,14,0,11,0.04,0.03,7,0,0
"자두, 후무사, 생것",과일류,44,0.64,0.05,11.47,2,5,0.09,0,0,89,0.02,0.035,4.07,22.77,0
"자몽(그레이프프루트), 생것",과일류,32,0.84,0.05,7.92,1.2,31,0.12,1,0,551,0.097,0.022,31.75,13.8,5.72
"자몽(그레이프프루트) 주스, 천연과즙",과일류,40,0.6,0.1,10.3,0.1,9,0.1,1,0,0,0.04,0.01,38,18,5
"자몽(그레이프프루트) 주스, 과즙 음료(50%)",과일류,46,0.3,0,11.1,0.1,7,0.1,4,0,0,0.02,0,19,0,0
"자몽(그레이프프루트) 주스, 과즙 음료(20%)",과일류,39,0.1,0,9.7,0,3,0.1,2,0,0,0,0,8,0,0
"자몽(그레이프프루트) 주스, 가당, 캔",과일류,46,0.58,0.09,11.13,0.1,8,0.36,2,0,3,0.04,0.023,26.9,0,0
"자몽(그레이프프루트) 주스, 무가당, 캔",과일류,34,0.58,0.1,7.93,0.8,14,0.11,3,0,20,0.042,0.02,28.3,0,0
"잭프루트, 생것",과일류,95,1.72,0.64,23.25,1.5,24,0.23,2,0,61,0.105,0.055,13.7,15,79
"잭프루트, 통조림",과일류,92,0.36,0.14,23.94,0.9,44,0.29,11,0,0,0.033,0.036,0.5,0,0
"참외, 씨 포함, 생것",과일류,47,1.57,0.29,11.01,1.7,6,0.26,2,0,6,0.006,0.08,1.99,167.43,9.08
"참외, 씨 제거, 생것",과일류,45,1.33,0.04,11.23,2.9,4,0.22,3,0,1,0.005,0.084,1.93,6.97,9.11
"참외, 금싸라기, 씨 제거, 흰색과육, 생것",과일류,27,0.9,0.7,5,0,16,0.2,0,0,80,0.02,0.05,15,0,0
"체리, 생것",과일류,67,1.59,0.06,16.9,2.3,12,0.27,1,0,113,0.055,0.026,1.29,8.35,10.6
"체리, 고형물, 통조림",과일류,134,0.18,0.02,33.21,2.1,75,0.15,7,0,0,0,0.007,0,0,0
"체리, 액즙, 통조림",과일류,137,0.02,0,34.11,0.9,28,0.08,7,0,0,0,0.007,0,0,0
"칼슘나무 열매, 생것",과일류,50,0.4,0.4,12.6,0,32,0.5,1,0,42,0.09,0.06,44,0,0
