,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A (Retinol),Vitamin A (BetaCarotene),Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"두릅, 땅두릅, 잎, 생것",채소류,43,4.3,0.3,8.5,0,140,1.9,22,0,60,0.25,0.46,47,0,0
"두릅, 땅두릅, 잎, 데친것",채소류,61,6.3,0.8,10.8,0,221,2.5,27,0,141,0.22,0.35,14,0,0
"두릅, 땅두릅, 줄기, 생것",채소류,17,1.6,0.2,3.1,0,36,1.1,29,0,4,0.16,0.31,4,0,0
"두릅, 땅두릅, 줄기, 데친것",채소류,16,1.5,0.1,3.3,0,55,0.8,3,0,7,0.11,0.12,4,0,0
"둥글레, 잎, 생것",채소류,52,3.4,0.2,11.7,0,58,8.9,9,0,110,0.11,0.05,2,0,0
"둥글레, 잎, 말린것",채소류,289,16.5,0.9,67.7,0,572,59.9,7,0,10,0.46,1.41,32,0,0
"들깨, 싹, 생것",채소류,17,1.7,0.1,2.5,0,29,7.8,0,0,47,0.04,0.19,7,0,0
"들깻잎, 생것",채소류,47,4.46,0.5,8.89,5.7,296,1.91,1,0,7565,0.329,0.508,2.73,69.51,245.03
"들깻잎, 데친것",채소류,32,3.93,0.6,4.8,3.9,226,1.39,1,0,7040,0.045,0.161,0.13,61.57,381.3
"들깻잎, 찐것",채소류,37,4.37,0.55,6.07,4.7,265,2.42,1,0,7207,0.138,0.421,1.05,53.79,343.56
"들깻잎장아찌, 통조림",채소류,76,4.7,1.7,10.4,0,166,4,1679,0,4377,0.09,0.15,0,0,0
들깻잎장아찌,채소류,124,4.03,0.42,26,4.4,178,2.34,1809,0,4167,0.099,0.221,12.74,42.32,267.51
"로카, 생것",채소류,17,2.6,0.2,2.5,0,80,3.2,92,0,100,0.1,0.2,23,0,0
"루꼴라, 생것",채소류,25,2.58,0.66,3.65,1.6,160,1.46,27,0,1424,0.044,0.086,15,0,0
"리크, 생것",채소류,54,1.8,0.3,13.2,0,20,0.1,4,0,277,0.05,0.05,41,0,0
"리크, 데친것",채소류,28,1.3,0.1,6.8,2.6,26,0.6,2,0,37,0.05,0.07,9,23,33
"마늘, 구근, 생것",채소류,123,7.03,0.12,26.65,3.3,8,0.82,2,0,0,0.118,0.276,11.86,58.23,0
"마늘, 구근, 말린것",채소류,333,16.3,0.7,73.3,0,18,6.5,7,0,0,0.52,0.63,39,0,0
"마늘, 구근, 냉동",채소류,126,7.38,0.07,27.29,3,7,0.99,1,0,0,0.128,0.665,11.86,23.02,0.88
"마늘, 구근, 동결건조",채소류,330,15.3,0.5,73.7,0,13,1.6,5,0,0,0.48,0.24,32,0,0
"마늘, 구근, 데친것",채소류,133,7.84,0.13,28.59,2.2,8,0.85,1,0,0,0.13,0.602,11.86,70.03,3.29
"마늘, 구근, 구운것",채소류,141,8.29,0.17,30.39,2.2,8,1.56,2,0,0,0.123,0.612,14.03,93.75,4.3
"마늘, 난지형, 구근, 생것",채소류,148,8.6,0,32.2,0,9,1.6,2,0,0,0.28,0.12,7,0,0
"마늘, 난지형, 구근, 데친것",채소류,47,3.3,0,9.9,0,3,0.9,1,0,0,0.08,0.02,5,0,0
"마늘, 중국산, 구근, 생것",채소류,106,5.9,0.1,23.2,0,7,0.8,18,0,0,0.21,0.1,23,0,0
"마늘, 한지형, 구근, 생것",채소류,124,7.88,0.19,26.22,4.4,16,0.73,5,0,0,0.172,0.046,5.04,93.65,0
"마늘, 한지형, 구근, 데친것",채소류,127,8.25,0.14,26.77,3.5,17,0.67,5,0,2,0.166,0.047,4.38,82.49,0
"마늘, 한지형, 구근, 구운것",채소류,184,11.8,0.27,38.82,4.3,24,1.03,7,0,5,0.183,0.063,4.69,160.29,0
"마늘, 한지형, 구근, 볶은것",채소류,159,9.84,1.35,31.31,4.1,20,0.92,6,0,3,0.21,0.08,4.07,736.5,62.22
"풋마늘, 잎줄기, 생것",채소류,29,1.9,0.17,7.33,3.7,63,0.55,2,0,1074,0.096,0.089,11.81,39.36,41.78
"풋마늘, 잎줄기, 데친것",채소류,30,1.82,0.29,7.28,3.4,72,0.36,2,0,1098,0.02,0.119,9.66,79.43,97.83
"마늘종, 꽃줄기, 생것",채소류,45,1.86,0.06,13.39,4.6,49,0.51,1,0,426,0.009,0.065,44.37,6.7,3.56
"마늘종, 꽃줄기, 데친것",채소류,50,1.98,0.17,14.82,4.2,51,0.49,2,0,919,0.087,0.066,38.08,64.31,46.73
마늘종 장아찌,채소류,118,1.96,0.14,27.34,5.2,21,0.61,1410,0,135,0.026,0.023,0,58.72,24.5
마늘 장아찌,채소류,113,2.43,0.16,25.36,2.9,7,0.37,1127,0,0,0.043,0.025,0,85.96,6.29
"마타리, 생것",채소류,45,2.1,0.1,10.9,0,8,0.2,0,0,3942,0.02,0.28,11,0,0
"머위, 생것",채소류,17,2.31,0.14,2.74,2.7,103,1.05,2,0,2904,0.01,0.084,2.46,28.66,78.99
"머위, 말린것",채소류,281,17.4,3.7,58.2,0,1104,59.3,48,0,191,0.39,3.17,6,0,0
"머위, 삶아서 말린것",채소류,278,26.73,4.67,48.62,39.1,1253,14.43,46,0,32600,0.413,1.072,0.61,890.04,2633.96
"머위, 삶은것",채소류,28,2.44,0.44,5.2,4.5,121,0.99,5,0,3678,0,0.099,5.32,84.99,253.4
"머위, 데친것",채소류,25,2.17,0.41,4.42,4.2,105,0.86,2,0,2828,0,0.109,6.56,81.68,233.33
"메밀, 싹, 생것",채소류,24,1.9,1.2,1.9,3.6,11,0.9,4,0,18118,0.29,0.15,1,0,0
"모링가(드럼스틱), 생것",채소류,66,4.21,1.38,12.43,6.4,313,2.46,6,0,1778,0.242,0.32,216.76,65.24,239.42
"모시풀, 잎, 생것",채소류,64,6.61,0.71,11.85,5.3,877,2.31,3,0,9383,0.041,0.749,47.67,137.88,323.25
"모시풀, 잎, 삶은것",채소류,49,6.09,1.02,7.24,6.3,651,1.66,2,0,7883,0.025,0.261,2.1,159.13,593.91
"모시풀, 잎, 서방종, 생것",채소류,51,4.4,1.36,8.13,5.7,895,2.46,1,0,3136,0.197,0.21,2.39,67.32,90.39
"무, 왜무, 생것",채소류,21,1.1,0.1,4.5,0,27,0.4,14,0,0,0.02,0.03,22,0,0
"무, 조선무, 생것",채소류,15,0.63,0.09,3.36,0.6,23,0.18,6,0,4,0.059,0.021,7.34,24.66,9.81
"무순, 싹, 생것",채소류,22,2.2,0.3,3.9,2.3,44,1.4,15,0,0,0.28,0.14,2,0,0
"무청, 왜무 잎, 생것",채소류,22,2.3,0.7,2.9,0,329,7.3,38,0,5005,0.07,0.26,62,0,0
"무청, 조선무 잎, 생것",채소류,31,2.9,0.2,6.1,0,341,11.5,154,0,166,0.21,0.17,72,0,0
"무시래기, 잎, 말린것, 삶은것",채소류,23,1.58,0.27,4.68,4.3,108,1.46,91,0,1787,0.082,0.046,0,21.09,146.62
무 절임,채소류,22,0.44,0.21,4.89,1.4,14,0.29,219,0,0,0,0.01,100.35,4.46,8.34
"단무지, 염절임",채소류,12,0.36,0.05,2.42,2.1,21,0.16,637,0,0,0.013,0.015,18.42,6.64,13.18
무국물,채소류,1,0,0,0.3,0.6,3,0.3,3,0,0,0.01,0,0,0,0
"무말랭이, 말린것",채소류,318,13.59,0.3,65.34,28.2,344,5.18,303,0,17,0.583,0.262,61.38,22.45,69.59
무말랭이 무침,채소류,136,3.3,1,28.5,7.8,101,18.1,1282,0,909,0.23,0.15,0,0,0
"무장아찌, 뿌리",채소류,131,2.25,0.61,29.24,7.6,87,1.83,1073,0,1234,0.031,0.209,0,241.64,81.01
"쌈무, 초절임",채소류,15,0.54,0.03,3.1,2.3,16,0.16,400,0,0,0.038,0,1.39,5.37,9.38
"물강활, 말린것",채소류,289,19.6,2.5,61.6,0,83,1.7,0,0,355,0.01,0.03,0,0,0
"물냉이, 생것",채소류,23,3.5,0.1,3.7,0,105,9.1,28,0,2061,0.11,0.22,92,0,0
"물쑥, 생것",채소류,36,5.4,0.3,5.6,0,106,12.1,0,0,3411,0.12,0.13,15,0,0
"물쑥, 데친것",채소류,47,1.9,0.1,11.7,0,44,2.5,7,0,135,0.03,0.03,0,0,0
"미나리, 농축",채소류,120,0.36,0,33.48,1.4,31,0.11,6,0,0,0.021,0.142,2.44,0,0
"미나리, 돌미나리(야생), 생것",채소류,21,2.2,0.2,3.8,0,55,2,18,0,1320,0.15,0.16,15,0,0
"미나리, 돌미나리(야생), 데친것",채소류,19,2.3,0.2,3.2,0,35,1.3,7,0,935,0.1,0.1,2,0,0
"미나리, 물미나리, 생것",채소류,22,1.81,0.25,4.45,3.5,45,0.39,5,0,963,0.02,0.199,3.67,103.84,67.89
"미나리, 물미나리, 데친것",채소류,25,2.04,0.32,4.82,3.1,61,0.46,6,0,941,0.021,0.127,8,120.8,93.96
"미나리, 물미나리, 잎, 생것",채소류,30,2.84,0.4,5.62,3.7,104,0.87,5,0,2538,0.018,0.326,12.13,135.39,138.65
"미나리, 물미나리, 줄기, 생것",채소류,22,0.9,0.16,5.15,3.1,34,0.29,6,0,308,0.01,0.093,1.93,79.04,28.92
"미니파프리카, 주황색, 생것",채소류,38,0.97,0.79,8.22,3.4,9,0.68,3,0,157,0.016,0.002,191.02,80.22,39.04
"미니파프리카, 노란색, 생것",채소류,41,1.01,1.09,8.32,1.9,9,0.51,2,0,123,0.011,0.009,168.02,94.95,37.19
"미니파프리카, 빨간색, 생것",채소류,41,1.07,0.94,8.49,0.3,10,0.38,2,0,150,0.114,0.066,202.75,121.97,43.15
"민들레, 생것",채소류,29,2.44,0.44,5.48,3.3,119,5.42,1,0,2406,0.039,0.211,2.21,88.42,255.19
"민들레, 데친것",채소류,30,2.18,0.51,5.74,4.6,115,1.44,1,0,2314,0,0.159,2.26,96.57,301.79
"바젤라, 생것",채소류,13,0.7,0.2,2.6,2.2,150,0.5,9,0,2900,0.03,0.07,41,0,0
"바젤라, 데친것",채소류,15,0.9,0.2,3.2,3.1,180,0.4,7,0,3200,0.02,0.05,18,0,0
"바질, 개량종, 생것",채소류,46,2.6,0.6,9.7,0,17,0.1,12,0,433,0.1,0.01,32,0,0
"바질, 재래종, 생것",채소류,47,2.3,0.5,10.4,0,15,0.2,0,0,375,0.1,0.04,51,0,0
"박, 과육, 생것",채소류,21,0.5,0.1,5.2,0,27,2.1,6,0,0,0.11,0.01,15,0,0
"박, 씨 포함, 생것",채소류,32,1,0.1,8,0,14,2.2,5,0,0,0.16,0.02,21,0,0
"박고지, 말린것",채소류,268,7.6,0.4,69,0,321,4.4,14,0,0,0.11,0,2,0,0
"박쥐나무, 잎, 생것",채소류,100,6.7,1.2,20.7,0,718,3.5,27,0,10812,0.43,1.09,151,0,0
"밥취나물, 말린것",채소류,282,21,4,55.2,0,77,2.1,0,0,176,0.02,0.03,1,0,0
"방가지똥, 생것",채소류,46,2.5,0.4,10.3,0,39,4.4,5,0,245,0.17,0.24,2,0,0
"방울다다기양배추, 생것",채소류,49,3.28,0.16,11.17,5.5,49,1.21,25,0,103,0.446,0.209,0,24.08,42.31
"방울다다기양배추, 데친것",채소류,49,5.3,0.1,9.8,5.2,36,1,5,0,680,0.13,0.16,110,15,33
"배암차즈기(곰보배추), 잎, 생것",채소류,25,1.73,0.62,4.5,2.1,88,2.5,7,0,261,0.146,0.191,4.65,34.05,102.97
"배초향, 잎, 생것",채소류,55,4.87,0.46,11.13,6.4,237,3.8,2,0,4941,0.104,0.483,14.12,58.14,273.39
"배추, 생것",채소류,12,1.1,0,2.7,0,29,0.5,15,0,5,0.2,0.03,10,0,0
"배추, 데친것",채소류,17,1.4,0,3.9,0,41,2.6,7,0,2,0.05,0.01,11,0,0
"배추, 봄 재배, 생것",채소류,13,1.61,0.07,2.28,1.2,55,0.58,13,0,266,0.022,0.071,24.43,6.33,31.35
"배추, 봄 재배, 삶은것",채소류,14,1.39,0.12,2.61,1.7,52,0.34,8,0,199,0,0.042,15.3,10.82,65.04
"배추, 봄 재배, 염절임",채소류,15,1.63,0.09,2.89,2.5,61,0.36,496,0,433,0.028,0.069,5.62,8.73,42.61
"배추, 여름 재배, 생것",채소류,17,0.9,0.02,3.99,1,60,0.25,3,0,144,0.018,0.044,12.07,1.02,0.98
"배추, 여름 재배, 삶은것",채소류,17,0.85,0.23,3.53,2.8,94,0.33,3,0,368,0.009,0.024,11.83,28.89,133.93
"배추, 여름 재배, 염절임",채소류,17,1.03,0.05,4.04,2.1,53,0.28,606,0,81,0.05,0.038,4.09,5.18,19.77
"배추, 가을 재배, 생것",채소류,15,1.25,0.05,3.35,2,42,0.24,11,0,27,0.027,0.04,8.99,3.71,22.3
"배추, 가을 재배, 삶은것",채소류,14,1.25,0.06,2.94,1.6,69,0.27,9,0,93,0.02,0.032,9.18,4.95,33.54
"배추, 가을 재배, 염절임",채소류,18,1.35,0.06,3.9,1.5,57,0.26,359,0,61,0.049,0.043,6.96,5.39,31.94
"배추, 싹, 생것",채소류,63,3.4,4.3,5.3,4.3,61,1.1,8,0,817,0.65,0.28,17,0,0
"배추, 노랑봄배추(노지), 생것",채소류,13,1,0,3,0,24,0.5,9,0,22,0.05,0.04,11,0,0
"배추, 노랑봄배추(노지), 데친것",채소류,17,1.2,0,3.9,0,39,1,12,0,6,0.1,0.01,6,0,0
"배추, 노랑봄배추(노지), 염절임",채소류,16,1.1,0.1,3.6,0,34,1.5,663,0,10,0.06,0.03,15,0,0
"배추, 노랑봄배추(하우스), 생것",채소류,12,1,0,2.6,0,28,1.1,11,0,22,0.06,0.04,12,0,0
"배추, 노랑봄배추(하우스), 데친것",채소류,15,1,0,3.4,0,75,1.2,12,0,7,0.1,0.01,7,0,0
"배추, 노랑봄배추(하우스), 염절임",채소류,15,1,0,3.4,0,28,2.5,530,0,13,0.08,0.03,13,0,0
"배추, 봄동, 생것",채소류,23,2.02,0.17,4.78,2.7,101,0.87,50,0,926,0.048,0.087,23.28,15.29,91.99
"배추, 봄동, 데친것",채소류,22,1.84,0.18,4.54,2.5,101,0.51,38,0,906,0.239,0.066,21.68,15.76,108.28
"배추, 불암 3호(노지), 생것",채소류,23,0.9,0.1,5.7,0,60,0.6,14,0,1,0.08,0.03,24,0,0
"배추, 불암 3호(노지), 데친것",채소류,33,1.3,0.1,8.2,0,89,0.5,18,0,44,0.04,0.03,17,0,0
"배추, 불암 3호(노지), 염절임",채소류,30,1.2,0.1,7.4,0,58,0.4,397,0,14,0.1,0.05,34,0,0
"배추, 불암 3호(하우스), 생것",채소류,13,1,0.1,2.8,0,47,0.1,12,0,2,0.07,0.02,12,0,0
"배추, 불암 3호(하우스), 데친것",채소류,18,1.3,0.1,3.8,0,86,0.4,15,0,9,0.04,0.01,8,0,0
"배추, 불암 3호(하우스), 염절임",채소류,18,1.1,0.1,4,0,65,0.2,533,0,12,0.07,0.02,13,0,0
"배추, 여름배추, 생것",채소류,10,1,0,2.2,0,33,0.4,26,0,3,0.07,0.03,16,0,0
"배추, 여름배추, 데친것",채소류,12,0.8,0.1,2.6,0,57,1.2,25,0,3,0.05,0.01,12,0,0
"배추, 여름배추, 염절임",채소류,11,0.8,0.1,2.3,0,38,1.2,684,0,3,0.05,0.05,15,0,0
"배추, 우거지, 말린것",채소류,278,14.38,3.89,58.92,29.6,981,9.45,153,0,4810,1.587,0.871,9.25,137.3,641.8
"배추, 우거지, 말린것, 삶은것",채소류,23,1.68,0.24,4.6,4,111,0.89,4,0,848,0,0.009,0,24.83,111.8
"배추, 유기재배, 생것",채소류,14,1.1,0,3.2,0,26,0.6,13,0,8,0.11,0.03,17,0,0
"백모근, 생것",채소류,138,1.1,0.3,34.6,0,1,14.9,29,0,0,0.06,0.16,12,0,0
"백모근, 뿌리, 말린것",채소류,337,9,2,77,0,275,29,115,0,0,0.32,1,21,0,0
"백모근, 잎, 말린것",채소류,314,22,3,66,0,624,19,50,0,15179,0.42,2,19,0,0
"백합, 뿌리, 생것",채소류,118,3.34,1.52,24.91,0,9,0.65,2,0,24,0.062,0.011,6.3,17.76,0
"버드장이, 생것",채소류,38,4,0.1,7.6,0,7,0.5,0,0,2923,0.04,0.34,6,0,0
"보리, 순, 가루 ",채소류,314,26.6,4.8,58.5,0,429,6.4,282,0,1310,5.76,3.96,47,0,0
"보리, 쌀보리, 순, 생것",채소류,24,2,0.3,4.6,0,40,1.6,18,0,78,0.58,0.09,11,0,0
"보리, 올보리, 순, 생것",채소류,66,3.1,1.1,13.9,0,24,5.3,0,0,5511,0.24,0.2,111,0,0
"보리, 큰알보리, 순, 생것",채소류,24,2.91,0.27,3.99,3.1,19,2.22,62,0,2297,0.557,0.164,12.61,36.79,137.6
"보리, 큰알보리, 순, 동결건조",채소류,283,28.3,3.39,51.96,41.1,553,17.87,282,0,21810,4.261,2.174,74.61,262.74,2282.69
"뽕잎, 삶아서 말린것",채소류,279,26.22,2.98,53.22,38.4,1348,11.37,11,0,11125,0.45,1.106,10.01,669.14,1465.24
"뽕잎, 삶아서 말린것, 삶은것",채소류,51,5.9,0.55,8.92,8.7,272,1.87,3,0,3064,0.015,0.303,0,115.24,284.72
"뽕잎, 삶은것",채소류,48,4.86,0.53,9,8.1,204,1.22,6,0,4617,0.044,0.178,20.74,113.48,280.81
"뽕잎, 생것",채소류,65,6.28,0.5,12.82,10.7,243,2.99,10,0,5143,0.053,0.376,111.62,125.81,200.96
"부지갱이(섬쑥부쟁이), 생것",채소류,30,3.65,0.43,4.9,4.6,75,0.93,15,0,3516,0.771,0.288,11.55,98.07,237.81
"부지갱이(섬쑥부쟁이), 말린것",채소류,258,25.7,2,50,0,112,0,0,0,479,0.18,0.08,0,0,0
"부지갱이(섬쑥부쟁이), 삶아서 말린것",채소류,296,25.09,2.88,59.07,31.1,571,9.49,214,0,9562,0.353,1.003,0,714.54,1414.75
"부지갱이(섬쑥부쟁이), 삶아서 말린것, 삶은것",채소류,48,5.17,0.68,8.24,6.7,121,1.28,10,0,2516,0,0.07,0,172.45,329.7
"부지갱이(섬쑥부쟁이), 데친것",채소류,33,4,0.65,4.92,4.3,80,0.83,11,0,2813,0.298,0.175,5.61,144.32,379.97
"부추, 두메부추, 생것",채소류,46,1.2,0.1,11.9,0,107,3.1,2,0,78,0.18,0.05,12,0,0
"부추, 산부추, 생것",채소류,41,3.5,0.1,8.8,0,14,0.3,15,0,3010,0.03,0.29,11,0,0
"부추, 재래종, 생것",채소류,22,1.8,0.3,4.1,0,28,3.4,3,0,87,0.16,0.08,5,0,0
"부추, 재래종, 데친것",채소류,20,2.3,0.2,3.6,0,52,0.7,2,0,2242,0.02,0.08,37,0,0
"부추, 호부추, 생것",채소류,30,2.06,0.33,6.23,4.8,59,0.83,0,0,2131,0.088,0.151,15.15,92.69,134.03
"부추, 호부추, 데친것",채소류,32,2.37,0.35,6.42,4.1,63,0.38,1,0,1644,0.006,0.118,20.96,100.39,151.03
"브로콜리, 생것",채소류,32,3.08,0.2,6.32,3.1,39,0.8,3,0,264,0.033,0.143,29.17,30.29,62.14
"브로콜리, 가루 ",채소류,284,17.5,3.9,58.4,0,0,5.4,145,0,700,0.6,1.4,53,0,0
"브로콜리, 삶은것",채소류,27,3.5,0.4,4.3,3.7,33,0.7,14,0,770,0.06,0.09,54,23,53
"브로콜리, 데친것",채소류,28,2.8,0.31,5.34,3.1,37,0.68,4,0,353,0.012,0.102,29.17,52.53,144.54
"브로콜리, 싹, 생것",채소류,31,3.81,0.92,3.8,1.8,73,0.66,16,0,295,0.038,0.189,11.41,136.26,154.9
"브로콜리, 잎, 생것",채소류,38,2.2,0.4,8.1,0,173,0.3,18,0,650,0.12,0.14,50,0,0
"브로콜리, 잎, 말린것",채소류,258,15.4,2.8,55.3,0,2705,2.7,193,0,420,0.52,0.76,37,0,0
"브로콜리, 잎, 삶아서 말린것",채소류,271,17.4,1.8,59.8,0,1716,3.9,35,0,630,0.29,1.19,60,0,0
"비름, 생것",채소류,23,2.72,0.29,3.96,3.4,133,1.42,65,0,2289,0.01,0.158,6.47,67.7,139.14
"비름, 데친것",채소류,27,2.98,0.41,4.51,4.1,183,0.83,46,0,2571,0.067,0.12,17.5,85.92,224.45
"비타민채(다채), 생것",채소류,14,2.1,0.2,2,0,91,2.7,17,0,405,0.12,0.2,20,0,0
"비타민채, 싹, 생것",채소류,54,3.1,3.3,5.4,5.4,47,1.3,5,0,3549,0.52,0.19,6,0,0
"비트, 뿌리, 생것",채소류,37,1.7,0,8.4,0,7,2.2,84,0,0,0.02,0.04,23,0,0
"비트, 뿌리, 데친것",채소류,26,1.2,0,5.8,0,7,1.6,55,0,0,0.01,0.03,5,0,0
"비트, 잎, 생것",채소류,16,2.2,0.1,2.8,0,57,4,254,0,2379,0.01,0.52,14,0,0
"비트, 잎, 데친것",채소류,15,2.3,0.2,2.2,0,75,1.6,159,0,3819,0.04,0.28,6,0,0
"비트, 적비트(홍무), 뿌리, 생것",채소류,34,0.1,0.3,8,0,58,5.9,68,0,0,0.03,0.03,25,0,0
"비트 피클, 뿌리, 통조림",채소류,65,0.8,0.08,16.28,0.8,11,0.41,149,0,29,0.01,0.048,2.3,0,0
"사탕무, 생것",채소류,77,1.8,0,18.7,0,11,0.8,61,0,0,0.01,0.06,17,0,0
"사탕수수, 생것",채소류,77,1.1,0,20.9,0,26,0.9,10,0,0,0.14,0.03,0,0,0
"산마늘, 생것",채소류,36,2.02,0.21,8.21,4.1,53,0.59,0,0,2522,0,0.097,62.63,59.75,84.57
"산마늘, 데친것",채소류,37,2.08,0.31,8.29,3.9,60,0.55,0,0,1874,0,0.213,62.63,85.44,135.3
"산마늘 장아찌, 초절임",채소류,51,2.39,0.68,11.13,3,45,0.61,655,0,1085,0,0.195,1.19,78.64,145.89
"삼나물, 말린것",채소류,293,22.8,2.2,61.3,0,25,2.4,0,0,88,0,0.34,0,0,0
"삼붕냐와, 생것",채소류,27,1.62,1.09,3.84,3.8,108,1.05,186,0,224,0.082,0.072,4.11,51.43,73.64
"삼채, 생것",채소류,23,1.55,0.13,4.99,2.8,60,0.83,2,0,2005,0.101,0.12,12.31,38.65,30.89
"삼채, 데친것",채소류,28,2.04,0.27,5.77,3,71,0.73,3,0,2700,0.119,0.113,12.31,87.04,87.81
"삼채, 뿌리, 생것",채소류,49,0.77,0.04,12.15,4.8,64,5.78,15,0,5,0.06,0.083,0.73,9.02,0.39
"삼채, 잎, 생것",채소류,24,1.95,0.2,4.8,4.1,60,3.75,4,0,2571,0,0.099,0.59,67.48,61.48
"삼채, 줄기, 생것",채소류,19,0.78,0.09,4.65,3.8,95,0.64,2,0,384,0.077,0.076,0.54,32.68,20.19
"삽주나물, 생것",채소류,52,5.3,1.3,7.9,0,108,4.4,0,0,2250,0.18,0.14,11,0,0
"상추, 뚝섬적출면, 생것",채소류,14,1.1,0.3,2.4,0,41,1.5,5,0,1034,0.09,0.1,11,0,0
"상추, 로메인, 생것",채소류,29,1.8,0.2,6.4,0,84,8.7,161,0,1095,0.23,0.16,45,0,0
"상추, 로메인, 청상추, 생것",채소류,23,1.78,0.32,4.59,3.7,122,0.61,12,0,4425,0,0.047,0.33,43.14,206.05
"상추, 로메인, 적상추, 생것",채소류,17,2.28,0.22,2.69,1.7,143,1.08,30,0,2662,0,0.134,0.15,30.87,146.35
"상추, 롤로로사, 생것",채소류,20,1.1,0.2,4.5,0,118,2.7,161,0,505,0.13,0.09,26,0,0
"상추, 아담, 생것",채소류,9,0.9,0.2,1.3,0,38,1,6,0,234,0.05,0.07,13,0,0
"상추, 아시아아이스퀸(청코스), 생것",채소류,24,1.8,0.6,4,0,178,0.5,102,0,652,0.17,0.25,39,0,0
"상추, 유레이크, 생것",채소류,16,0.8,0.2,3.5,0,20,1.8,2,0,249,0.09,0.09,6,0,0
"상추, 적상추, 생것",채소류,18,1.1,0.3,3.6,3.9,95,1.6,36,0,1040,0.11,0.31,0,0,0
"상추, 적하계, 생것",채소류,19,1.7,0.2,3.7,0,55,1.4,5,0,482,0.08,0.14,12,0,0
"상추, 천상, 생것",채소류,17,1.2,0.3,3.2,0,29,1.1,5,0,298,0.1,0.08,10,0,0
"상추, 풍성, 생것",채소류,10,0.6,0.1,2.1,0,47,1.6,8,0,1148,0.07,0.08,5,0,0
"상추, 반결구상추, 청상추, 생것",채소류,16,0.97,0.1,3.66,1.5,32,0.46,5,0,424,0.037,0.01,0.24,31.38,41.33
"상추, 완전결구상추, 청상추, 생것",채소류,14,1.16,0.1,3.01,2.3,38,0.45,2,0,401,0.035,0.022,0,27.94,39.19
"상추, 축면상추, 적상추, 생것",채소류,15,1.31,0.21,2.76,1.5,42,0.96,6,0,1414,0.027,0.094,0.15,42.2,118.18
"상추, 치마상추, 청상추, 생것",채소류,20,1.88,0.36,3.48,2.5,95,3.41,17,0,2872,0.016,0.136,0.24,57.77,218.18
"상추, 치마상추, 적상추, 생것",채소류,23,1.53,0.36,4.61,3.9,111,2.22,6,0,2463,0,0.051,0.18,66.32,202.82
"생강, 뿌리줄기, 생것",채소류,42,0.97,0.15,9.82,2.6,18,0.95,4,0,19,0,0.052,1.5,59.43,11.81
"생강, 중국산, 뿌리줄기, 생것",채소류,38,1.3,0.3,8.4,0,8,2.3,11,0,23,0.09,0.08,4,0,0
"생강 피클, 초절임",채소류,19,0.2,0.4,4,2.4,67,0.9,2800,0,0,0,0,0,64,18
"선인장, 보검선인장, 꽃, 생것",채소류,51,1.6,0.1,10.8,0,170,2.8,15,0,0,0.14,0.08,51,0,0
"선인장, 보검선인장, 열매, 생것",채소류,83,0.97,0.19,19.35,12.4,157,0.45,23,0,60,0.018,0.114,43.52,106.03,19.75
"선인장, 보검선인장, 줄기, 생것",채소류,34,1.03,0.12,7.15,5,524,0.44,17,0,313,0.011,0.099,12.17,38.46,38.34
"선인장, 저단선인장, 열매, 생것",채소류,91,0.8,0.38,21,14.7,222,0.38,0,0,65,0,0.095,43.81,231.07,24.83
"선인장, 저단선인장, 줄기, 생것",채소류,75,0.75,0.15,17.76,16.3,279,0.85,0,0,184,0,0.135,18.25,75,20.68
"섬초롱, 생것",채소류,41,3,0.4,8.5,0,94,4.1,2,0,2331,0.14,0.26,9,0,0
"섬초롱, 데친것",채소류,34,2,0.2,7.6,0,70,1.7,1,0,3444,0.07,0.02,0,0,0
"세발나물, 생것",채소류,18,1.61,0.14,3.59,2.7,51,0.83,321,0,2719,0.148,0.138,3.43,29.24,56.89
"세발나물, 데친것",채소류,23,2.29,0.28,4.2,3.8,103,0.82,249,0,4110,0.316,0.097,2.82,51.74,127.92
"셀러리, 생것",채소류,17,1.04,0.07,3.95,2.2,88,0.28,70,0,683,0.041,0.089,10.6,28.37,12.08
"셀러리, 데친것",채소류,17,1.1,0.12,3.81,2.2,91,0.16,69,0,713,0.011,0.042,5.9,42.32,31.82
"소리쟁이, 뿌리, 말린것",채소류,317,7.9,0.9,74.9,0,517,24.4,223,0,467,0.66,1.56,17,0,0
"소리쟁이, 잎, 말린것",채소류,259,21.7,2.2,52.6,0,703,12.4,77,0,1663,0.6,0.71,29,0,0
"솔장다리, 생것",채소류,31,1.9,0.3,6.8,0,20,17,352,0,2201,0.08,0.19,20,0,0
"쇠귀나물, 뿌리, 생것",채소류,126,6.3,0.1,26.6,2.4,5,0.8,3,0,0,0.12,0.07,2,0,0
"쇠귀나물, 뿌리, 데친것",채소류,128,6.2,0.1,27.2,2.8,5,0.8,3,0,0,0.1,0.06,0,0,0
"수리취(떡취), 생것",채소류,64,3.9,0.2,14.7,0,46,3.2,0,0,587,0.03,0.19,18,0,0
"숙주나물, 생것",채소류,13,1.73,0.05,2.34,1.7,13,0.22,4,0,5,0.07,0.058,7.24,8.97,9.07
