,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
S참치가지볶음밥,143.74499999999998,6.707999999999998,2.35045,22.846800000000005,1.077,11.854999999999999,1.6988499999999997,246.06,25.011250001695,0.08032,0.056979999999999996,1.2814,912.3026500000001,7.06245
S참치밥전,111.64000000000001,7.700599999999999,4.2272,9.695500000000001,0.254,15.97,1.6877,147.75,42.12000000101,0.027659999999999997,0.11148999999999999,0.4225,1611.7787,14.425099999999999
S참치주먹밥,140.763,7.49356,2.64835,20.342139999999997,0.1936,10.117,1.95989,264.033,23.075750001585,0.063596,0.024852,0.151,943.4571099999998,7.01959
S참치채소전,81.35,6.767599999999999,3.8791,4.301500000000001,0.446,15.040000000000001,1.6337,141.48000000000002,45.331666668589996,0.029150000000000002,0.08835,19.6497,1578.6074999999998,14.016399999999997
S채소전,80.5,2.3607,2.8169000000000004,11.378399999999997,1.391,15.46,0.4432,16.05,39.20000000175,0.03703,0.07286999999999999,5.7801,1531.0453,18.290599999999998
S채소주먹밥,107.72000000000001,2.1093,3.1134500000000003,17.657600000000002,0.42200000000000004,11.43,0.6115500000000001,221.78500000000003,62.31750000225001,0.06971500000000001,0.06342,2.6279500000000002,1534.4491500000001,18.3395
S채소튀김,103.35,1.4164999999999999,3.1464000000000003,16.7123,0.9800000000000002,18.6,0.3477,133.58,26.929166668400004,0.03255,0.023549999999999998,2.1355,2160.6758999999997,17.9802
S충무김밥,94.23400000000001,1.9860000000000002,0.31618,20.27828,0.0,5.2860000000000005,0.5055,182.95700000000002,18.835166666584,0.0695,0.034640000000000004,0.93,83.2425,1.0681400000000003
S고칼슘치즈,60.048,2.7018,5.0040000000000004,1.0008,0.0,350.28,1.0809,195.12,300.24,0.0162,0.0162,1.0493999999999999,0.0,0.0
S치즈,59.6,3.7520000000000007,4.26,1.234,0.0,125.2,0.018,185.6,15.933333333999999,0.0118,0.034,0.014000000000000002,43.652,28.716000000000005
S고칼슘치즈(저염),60.048,3.0024,5.0040000000000004,0.5004,0.0,360.36,0.0,100.08,300.24,0.0,0.0,0.0,0.0,0.0
"S고칼슘요구르트(150ml,복숭아)",115.575,4.02,3.1155,20.1,4.02,201.0,0.0,80.4,0.0,0.0,0.0,0.0,0.0,0.0
"S고칼슘요구르트(150ml,사과)",125.625,4.02,3.1155,22.11,4.02,201.0,0.0,80.4,0.0,0.0,0.0,0.0,0.0,0.0
"S고칼슘요구르트(150ml,플레인)",115.575,4.02,3.1155,20.1,4.02,201.0,0.0,80.4,0.0,0.0,0.0,0.0,0.0,0.0
S치즈꼬마김밥,149.17699999999996,4.486960000000001,4.30131,22.32083,0.2741,82.114,0.59719,247.70600000000002,49.793583335253,0.079745,0.064982,2.009,1155.19785,24.490110000000005
S치즈주먹밥,138.282,3.6358,3.74485,21.394599999999997,0.24,67.596,0.45315000000000005,264.521,31.828083335435,0.07011,0.02672,8.552,929.49855,21.03725
S칼국수,83.192,2.6056,0.29085,16.877299999999998,0.688,30.705999999999996,0.30645000000000006,317.87100000000004,2.05933333335,0.016274999999999998,0.011970000000000001,0.7116499999999999,117.83885000000001,10.852400000000001
