,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"녹차, 현미, 추출",1,0.02,0,0.15,0,0,0.01,1,0,0,0.027,0.68,0.46,0
"녹차, 현미, 티백",377,11.72,2.28,77.42,20.3,165,3.32,21,113.1666667,0.452,0.924,32.15,704.05,276.25
"다래나무순차, 추출",1,0.1,0,0.1,0,1,0.7,7,0.166666667,0.03,0,6,0,0
"대추차, 추출",75,0.12,0.44,17.75,0.2,3,0.06,30,0,0.029,0.02,0.07,197.09,44.36
"도라지차, 추출",22,0.3,0,5.1,0,4,0.7,7,0,0.06,0.02,7,0,0
"두충차, 가루 ",354,14.3,3.8,67.9,0,407,13.8,31,0,0.17,0.59,12,0,0
"둥글레차, 추출",1,0,0.01,0.27,0,1,0.02,0,0,0,0.035,0.52,0.36,0
"둥글레차, 티백",372,7.3,1.08,83.19,19.4,180,13.77,10,0,0.155,1.405,0,436.74,19.32
민들레차,0,0.01,0,0.05,0,2,0,1,0,0,0.003,0.03,0.7,0
"보리차, 볶은것",406,15.28,3.56,78.22,26.6,65,7.87,24,0,0.007,0.915,0,1823.3,167.01
"보리차, 추출",0,0,0,0.07,0,2,0,1,0,0,0,0,0.31,0
보이차,0,0.12,0,0,0,2,0,2,0,0,0.004,0.12,0.93,0
"사과차, 추출",167,0.1,0,41.6,0,11,0.9,34,2.416666667,0.04,0.32,15,0,0
"상지차, 말린것",360,6,2.4,78.6,0,330,14.6,7,0,1.27,0.27,44,0,0
"생강차, 가루 ",353,0.1,0.2,90.7,0,4,0.6,57,0,0.01,0.01,0,0,0
"쌍화차, 가루 ",360,2.5,1.2,87.7,0,22,1.5,136,0,0.28,0.11,0,0,0
"쑥차, 말린것",338,26.3,0.8,56.4,0,754,27.5,153,256.5833333,1.12,1.36,24,0,0
"야콘차, 추출",98,0.6,0,24,0,15,0.4,33,0.916666667,0.08,0.22,11,0,0
"오미자차, 말린것",371,16.3,7,60.8,0,766,10.5,11,0,0.3,0,0,0,0
"우롱차, 추출",0,0,0,0.1,0,2,0,1,0,0,0.03,0,0,0
"우롱차, 캔",0,0,0,0.1,0,1,0.3,13,0,0.01,0,0,0,0
"유자차, 고형물 포함, 용액",72,0.03,0.01,18.05,1.6,7,0.01,6,0,0.047,0,54.81,3.29,1.68
"유자차, 당절임",246,0.2,0.2,62.8,0,23,0.3,2,0,0.03,0.02,34,0,0
"율무차, 가루 ",393,7.6,7.4,76.4,0,29,1,395,0,0.09,0.1,0,0,0
"인삼차, 과립차, 가루 ",381,0.9,0.4,96.7,0,3,1,23,0,0.11,0.2,0,0,0
"치커리차, 말린것",369,7.3,0.2,84.6,0,22,14.4,175,0,1.43,3.25,97,0,0
"카모마일차, 추출",1,0,0,0.2,0,2,0.08,1,1,0.01,0.004,0,0,0
"커피, 무카페인, 가루 ",351,11.6,0.2,76,0,140,3.8,23,0,0,1.36,0,0,0
"커피, 원두, 볶은것",431,13.7,13.5,63.7,0,98,4,3,0,0.05,0.12,0,0,0
"커피, 원두, 추출",4,0.2,0,0.7,0,2,0,1,0,0,0.01,0,9,0
"커피, 에스프레소",22,0.2,0.22,4.93,0,7,0,1,0,0,0.275,0,52.76,1.99
"커피, 캔",38,0.81,0.12,8.34,1,24,0.05,37,0,0.009,0.034,0,2.96,0
"커피, 커피가루, 인스턴트",348,19.81,0.49,66.06,0,159,1.7,42,0,0.008,0.074,0,198.23,4.23
"커피, 커피가루, 물에 탄것(커피가루 1g)",3,0.2,0.01,0.7,0,2,0.02,0,0,0,0.001,0,1.98,0.04
"커피, 커피믹스, 가루",426,3.59,8.54,83.8,0.8,115,0.39,13,0,0.072,0,0,23.77,0.71
"커피, 커피믹스, 물에 탄것(커피믹스 12g)",46,0.4,0.3,10.9,0,14,0,3,0,0.35,0.08,0,0,0
"컴프리차, 가루 ",347,1.7,0.1,87.8,0,37,2.1,0,0,0.21,0.06,1,0,0
"코코아, 밀크코코아, 가루 ",423,9.84,9.45,74.63,5.1,488,7.37,161,2,0,0.545,0,60.99,4.83
헛개차,1,0,0,0.26,0,1,0.01,7,0,0,0.001,3.12,0,0
"홍삼차, 가루 ",382,1.3,0.7,95.8,0,2,0.5,25,0,0.04,0.12,0,0,0
"홍차, 레몬, 추출",33,0,0,8.3,0,2,0.5,2,0,0.03,0.03,0,0,0
"홍차, 복숭아, 캔",30,0,0,7.59,0.4,0,0,4,0,0,0.001,15.74,1.64,0
