,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"Rice, Brown, 94.4% Milling yield, Uplnad rice, Cooked",Grains and grain products,168,3.6,0.5,35.7,0.5,4,0.2,1,0,0.06,0.01,0,160,6
"Rice, Brown, Uplnad rice, Cooked",Grains and grain products,164,4.1,1,34.3,1.4,7,0.6,1,0,0.16,0.02,0,320,12
"Rice, White, Saechucheongbyeo, Cooked",Grains and grain products,153,2.5,0.1,33.8,0,4,1.4,7,0.583333333,0.05,0.01,0,0,0
"Rice, White, Surabyeo, Cooked",Grains and grain products,159,2.4,0,35.7,0,5,0.3,4,0.416666667,0.08,0.01,0,0,0
"Rice, White, Ilmibyeo, Cooked",Grains and grain products,156,2.6,0.1,34.6,0,5,1.1,5,0.166666667,0.06,0.01,0,0,0
"Rice, White, Chucheongbyeo, Cooked",Grains and grain products,151,2.4,0,33.7,0,4,0.2,5,0.25,0.07,0.01,0,0,0
"Instant rice, White rice, Scorched rice, Nurungj",Grains and grain products,415,6.64,0.84,90.98,3.7,12,0.19,70,0,0.029,0.025,0,302.07,11.77
"Instant rice, white rice, Scorched rice, Nurungj, Hot water added",Grains and grain products,69,1.32,0.1,15.06,0.5,4,0.08,13,0,0,0.003,0,32.83,1.33
"Instant rice, Mixed grains(Nonglutinous rice, Glutinous rice, Black rice, Adzuki bean, Prosomillet, Glutinous sorghum)",Grains and grain products,150,2.83,0.38,33.76,0.7,9,0.24,159,0,0.026,0.014,0,158.18,9.65
"Instant rice, White rice",Grains and grain products,152,2.11,0.28,33.59,1.2,5,0.07,1,0,0.013,0.008,0,101.25,3.97
"Rice porridge, White rice",Grains and grain products,71,1.4,0,15.6,0,2,0.7,3,0,0.01,0.01,0,0,0
"Rice porridge, Brown rice",Grains and grain products,70,1.2,0.4,15.2,0.6,3,0.2,1,0,0.07,0.01,0,130,5
"Rice porridge, Brown rice, 94.4% Milling yield",Grains and grain products,71,1.1,0.2,15.6,0.2,2,0.1,0,0,0.03,0,0,65,2
"Wheat, Whole, Raw",Grains and grain products,342,13.2,1.5,74.6,16,24,5.2,0,4.75,0.52,0.23,0,0,0
"Wheat, Polished, Raw",Grains and grain products,333,10.6,1,75.8,0,52,4.7,17,0,0.43,0.12,0,0,0
"Wheat flour, White, Strong",Grains and grain products,334,13.59,1.11,72.89,2.5,17,0.64,1,0,0.053,0.071,0.15,619.35,33.7
"Wheat, Geumkangmil, Polished, Raw",Grains and grain products,329,13.06,1.28,71.7,3.3,14,2.36,1,0,0.279,0.036,0,737.95,42.58
"Wheat, Doughnut flour, Dry mix",Grains and grain products,404,8.5,6.8,73.9,0,72,0.5,778,0,0.12,0.75,0,0,0
"Wheat, Soft wheat flour",Grains and grain products,374,9.15,0.94,77.73,2.1,18,0.51,1,0,0.087,0.033,0.18,518.9,32.93
"Wheat flour, Pan-frying, Seasoned, Dry mix",Grains and grain products,368,9.8,0.98,75.52,2.5,32,0.58,786,0,0.082,0.882,0.01,537.09,34.62
