,Category,Energy,Protein,Fat,Carbohydrate,Total Dietary,Calcium,Iron,Sodium,Vitamin A,Vitamin B1 (Thiamine),Vitamin B2 (Rivoflavin),Vitamin C,Linoleic Acid,Alpha-Linolenic Acid
"Beef meat, Hanwoo, 1+ grade, Loin(Upper loin(1th~5th)), Raw",Meats,329,16.98,28.45,0,0,4,2.38,41,12,0.043,0.15,1.07,666.11,34.72
"Beef meat, Hanwoo, 1+ grade, Chuck roll(Chuck roll), Raw",Meats,222,20.83,14.75,0,0,4,2.56,46,6,0.042,0.156,0.84,364.24,16.84
"Beef meat, Hanwoo, 1+ grade, Shank(Hind shank), Raw",Meats,151,20.57,7.01,0,0,3,2.82,56,4,0.056,0.202,1.42,218.99,7.87
"Beef meat, Hanwoo, 1+ grade, Shank(Heel meat), Raw",Meats,137,21.89,4.85,0,0,3,2.89,48,3,0.06,0.182,0.91,366.63,15.12
"Beef meat, Hanwoo, 1+ grade, Shank(Conical meat), Raw",Meats,207,20.12,13.38,0,0,3,2.73,53,6,0.05,0.2,0.93,506.49,21.93
"Beef meat, Hanwoo, 1+ grade, Shank(Center of heel meat), Raw",Meats,236,20.6,16.38,0,0,4,2.56,62,5,0.048,0.169,0.93,451.37,19.92
"Beef meat, Hanwoo, 1+ grade, Shank(Fore shank), Raw",Meats,152,22.05,6.41,0,0,3,2.63,57,3,0.054,0.194,1.52,234.23,8.57
"Beef meat, Hanwoo, 1+ grade, Lean, Raw",Meats,223,17.06,16.97,0,0,3,2.12,40,8,0.046,0.146,0.9,408.56,20.93
"Beef meat, Hanwoo, 1+ grade, Bottom round(Knuckle), Raw",Meats,168,20.02,9.18,0,0,3,2.86,46,5,0.049,0.214,1.07,339.26,14.27
"Beef meat, Hanwoo, 1+ grade, Bottom round(Rump), Raw",Meats,176,21.82,9.21,0,0,3,2.87,42,4,0.05,0.208,0.9,300.93,12.47
"Beef meat, Hanwoo, 1+ grade, Bottom round(Tri-tip), Raw",Meats,207,19.38,13.74,0,0,3,2.02,44,9,0.058,0.136,0.86,551.34,27.4
"Beef meat, Hanwoo, 1+ grade, Bottom round(Outside round head), Raw",Meats,207,19.2,13.81,0,0,3,2.75,42,8,0.082,0.223,0.91,400.23,17.74
"Beef meat, Hanwoo, 1+ grade, Bottom round(Outside round), Raw",Meats,188,21.5,10.69,0,0,3,2.52,44,6,0.07,0.174,1.11,353.26,14.82
"Beef meat, Hanwoo, 1+ grade, Tenderloin(Tenderloin), Raw",Meats,206,20.69,13.03,0,0,2,2.63,37,7,0.05,0.231,0.84,553.62,27.71
"Beef meat, Hanwoo, 1+ grade, Clod(Rib blade), Raw",Meats,210,18.61,14.51,0,0,3,2,35,9,0.042,0.167,1.03,351.37,15.5
"Beef meat, Hanwoo, 1+ grade, Clod(Chuck tender), Raw",Meats,185,19.04,11.51,0,0,3,2.65,49,4,0.06,0.213,1.16,446.66,19.52
"Beef meat, Hanwoo, 1+ grade, Clod(Upper oyster blade), Raw",Meats,159,20.7,7.85,0,0,3,2.58,57,4,0.062,0.194,1.18,252.62,9.82
"Beef meat, Hanwoo, 1+ grade, Clod(Oyster blade), Raw",Meats,244,17.42,18.84,0,0,2,2.48,49,8,0.042,0.21,1.09,509.21,23.89
"Beef meat, Hanwoo, 1+ grade, Clod(Bolar blade), Raw",Meats,185,20.74,10.71,0,0,3,3,44,5,0.049,0.222,0.87,330.46,13.16
"Beef meat, Hanwoo, 1+ grade, Brisket(Flank steak), Raw",Meats,289,17.38,23.81,0,0,2,2.31,40,13,0.044,0.124,1.21,482.88,23.39
"Beef meat, Hanwoo, 1+ grade, Brisket(Brisket point end), Raw",Meats,194,19.77,12.11,0,0,3,2.4,52,6,0.046,0.156,0.73,328.02,14.07
"Beef meat, Hanwoo, 1+ grade, Brisket(Short plate), Raw",Meats,325,15.09,28.85,0,0,4,1.61,40,14,0.052,0.119,0.9,374.87,15.95
"Beef meat, Hanwoo, 1+ grade, Brisket(Inside skirt), Raw",Meats,297,18.09,24.35,0,0,5,2.44,45,9,0.06,0.13,0.98,474.4,23.44
"Beef meat, Hanwoo, 1+ grade, Brisket(Brisket point end-deckle off), Raw",Meats,467,11.16,46.45,0,0,5,1.2,60,16,0.054,0.076,0.76,734.79,35.21
"Beef meat, Hanwoo, 1+ grade, Brisket(Internal flank plate), Raw",Meats,235,17.64,17.69,0,0,3,2.46,44,9,0.066,0.176,1.14,473.54,22.53
"Beef meat, Hanwoo, 1+ grade, Brisket(Thin flank), Raw",Meats,212,20.81,13.71,0,0,3,1.71,51,9,0.043,0.125,0.87,392.07,18.06
"Beef meat, Hanwoo, 1+ grade, Top round(Top inside round), Raw",Meats,163,22.68,7.33,0,0,2,2.64,41,5,0.043,0.172,0.99,276.85,11.51
"Beef meat, Hanwoo, 1+ grade, Top round(Eye of round), Raw",Meats,158,21.61,7.31,0,0,3,1.99,41,6,0.06,0.151,0.99,223.44,8.3
"Beef meat, Hanwoo, 1+ grade, Strip loin(Strip loin), Raw",Meats,305,17.92,25.29,0,0,4,1.92,34,13,0.043,0.118,0.85,499.51,24.45
"Beef edible offal, Liver, Raw",Meats,131,19,4.6,2.2,0,6,8,65,9463.25,0.27,2.23,20,0,0
"Beef edible offal, Brain, Raw",Meats,120,9.3,8.2,1.7,0,14,2.8,154,91,0.15,0.15,10,0,0
"Beef edible offal, Tail, Raw",Meats,246,17.4,19,0,0,22,1.5,42,6,0.07,0.12,0,0,0
"Beef edible offal, Blood, Raw",Meats,52,10.1,0,2.2,0,8,23.7,598,0,0.04,0.01,0,0,0
"Beef edible offal, Small intestine, Raw",Meats,141,9,11.3,0.1,0,12,2.1,45,15,0.05,0.11,0,0,0
"Beef edible offal, Kidney, Raw",Meats,90,15.6,1.7,2.2,0,22,6.4,122,48,0.44,1.6,11,0,0
"Beef edible offal, Heart, Raw",Meats,105,15.8,4.2,0,0,5,4.5,70,45,0.38,0.3,0,0,0
"Beef edible offal, Stomach, Raw",Meats,61,9.9,2,0.1,0,14,3,33,2,0.05,0.16,0,0,0
"Beef edible offal, Omasum, Raw",Meats,51,10.3,0.7,0.1,0,16,3.5,28,24,0.05,0.25,0,0,0
"Beef edible offal, Lung, Raw",Meats,82,15.8,0.9,1.6,0,0,6.6,54,14,0.05,0.11,0,0,0
"Beef edible offal, Tongue, Raw",Meats,186,13,14.5,0,0,5,2.5,87,5,0.06,0.16,0,0,0
"Beef edible offal, USA, Liver, Raw",Meats,191,29.08,5.26,5.13,0,6,6.54,79,9441.5,0.194,3.425,1.9,659,17
"Beef edible offal, USA, Brain, Boiled",Meats,151,11.67,10.53,1.48,0,9,2.3,108,5.833333333,0.069,0.217,10.5,0,0
"Beef edible offal, USA, Kidney, Boiled",Meats,157,27.28,5.27,0,0,14,5.7,123,104,0.403,2.945,0,380,81
"Beef edible offal, USA, Heart, Boiled",Meats,165,28.48,4.73,0.15,0,5,6.38,59,0,0.101,1.21,0,0,12
"Beef edible offal, USA, Lung, Boiled",Meats,120,20.4,3.7,0,0,11,5.4,101,12,0.035,0.143,32.7,0,0
"Beef edible offal, USA, Tongue, Boiled",Meats,284,19.29,22.3,0,0,5,2.61,65,0,0.022,0.294,1.3,0,71
"Beef edible offal, Imported, Large intestine, Raw",Meats,162,9.3,13,0,0,9,0.8,61,2,0.04,0.14,6,290,42
"Beef, Bulgogi(Sliced beef with sauce), Raw",Meats,136,11.5,7.8,4.3,0,12,1.8,396,4,0.09,0.08,1,0,0
"Beef meat, Plate, Soup",Meats,4,1,0,0,0,2,0.5,26,0,0.01,0,0,0,0
"Beef, Feet Soup, Tree times of water",Meats,2,0.3,0.1,0,0,2,0,14,0,0,0,0,0,0
Sliced beef with sauce and dried,Meats,361,49,8.2,20.2,0,13,6.4,2180,0,0.21,0.25,0,0,0
Bone soup,Meats,27,4.3,1,0,0,2,1.6,61,0,0.01,0,0,0,0
"Veal Meat, USA, Rib, Raw",Meats,162,18.86,9.01,0,0,13,0.86,89,0,0.07,0.23,0,0,0
"Veal Meat, USA, Rib, Boiled",Meats,251,32.43,12.53,0,0,22,1.41,95,0,0.05,0.29,0,0,0
"Veal Meat, USA, Rib, Roasted",Meats,228,23.96,13.96,0,0,11,0.97,92,0,0.05,0.27,0,0,0
"Veal Meat, USA, Loin, Raw",Meats,177,20.07,10.07,0.07,0,14,0.84,98,0,0.078,0.28,0,0,0
"Veal Meat, USA, Loin, Boiled",Meats,284,30.19,17.21,0,0,28,1.09,80,0,0.04,0.3,0,0,0
"Veal Meat, USA, Loin, Roasted",Meats,217,24.8,12.32,0,0,19,0.87,93,0,0.05,0.28,0,0,0
"Veal Meat, USA, Lean, Raw",Meats,105,20.04,2.16,0,0,22,1.02,86,0,0.08,0.28,0,0,0
"Veal Meat, USA, Lean, Boiled",Meats,201,35.73,5.33,0,0,30,1.41,90,0,0.06,0.33,0,0,0
"Veal Meat, USA, Shoulder, Raw",Meats,132,19.34,5.44,0,0,21,1,83,0,0.08,0.27,0,0,0
"Veal Meat, USA, Shoulder, Boiled",Meats,236,33.63,10.24,0,0,28,1.38,87,0,0.06,0.31,0,0,0
"Veal Meat, USA, Shoulder, Roasted",Meats,183,25.46,8.25,0,0,26,1.15,90,0,0.06,0.32,0,0,0
"Veal Meat, USA, Striploin, Raw",Meats,152,19.07,7.81,0,0,11,0.78,76,0,0.08,0.3,0,0,0
"Veal Meat, USA, Striploin, Boiled",Meats,252,31.26,13.14,0,0,17,1.2,79,0,0.05,0.35,0,0,0
"Veal Meat, USA, Striploin, Oven-roasted",Meats,202,25.14,10.45,0,0,13,0.92,83,0,0.06,0.35,0,0,0
"Veal edible offal, USA, Liver, Raw",Meats,140,19.93,4.85,2.91,0,5,6.4,77,11705.91667,0.173,2.44,0.7,517,28
"Veal edible offal, USA, Liver, Boiled",Meats,192,28.42,6.26,3.77,0,6,5.11,78,21143.91667,0.182,2.86,1.1,648,30
"Veal edible offal, USA, Brain, Raw",Meats,118,10.32,8.21,0,0,10,2.13,127,0,0.13,0.26,14,0,0
"Veal edible offal, USA, Brain, Boiled",Meats,136,11.48,9.63,0,0,16,1.67,156,0,0.08,0.2,13,0,0
"Veal edible offal, USA, Kidney, Raw",Meats,99,15.76,3.12,0.85,0,11,3.36,178,92,0.32,1.9,5,0,0
"Veal edible offal, USA, Kidney, Boiled",Meats,163,26.32,5.66,0,0,29,3.04,110,201,0.19,1.99,8,0,0
"Veal edible offal, USA, Heart, Raw",Meats,110,17.18,3.98,0.08,0,5,4.24,77,0,0.52,1,8,0,0
"Veal edible offal, USA, Heart, Boiled",Meats,186,29.12,6.75,0.13,0,8,4.32,58,0,0.35,0.93,10,0,0
"Veal edible offal, USA, Lung, Raw",Meats,90,16.3,2.3,0,0,7,5.23,108,0,0.047,0.231,39,0,0
"Veal edible offal, USA, Lung, Boiled",Meats,104,18.74,2.64,0,0,7,3.61,56,0,0.032,0.131,34,0,0
"Veal edible offal, USA, Tongue, Raw",Meats,131,17.18,5.48,1.91,0,7,2.72,82,0,0.17,0.41,5,0,0
"Veal edible offal, USA, Tongue, Boiled",Meats,202,25.85,10.1,0,0,9,2.09,64,0,0.07,0.35,6,0,0
"Mutton meat, Imported, Legs, Raw",Meats,224,18.8,15.3,0.1,0,4,2.5,37,7,0.14,0.33,1,330,150
"Lamb meat, USA, Rib, Raw",Meats,372,14.52,34.39,0,0,15,1.39,56,0,0.1,0.19,0,0,0
"Lamb meat, USA, Rib, Oven-roasted",Meats,359,21.12,29.82,0,0,22,1.6,73,0,0.09,0.21,0,0,0
"Lamb meat, USA, Legs, Raw",Meats,201,18.58,13.49,0,0,8,1.71,57,0,0.13,0.23,0,0,0
"Lamb meat, USA, Legs, Oven-roasted",Meats,225,26.41,12.45,0,0,10,1.98,65,0,0.1,0.27,0,0,0
"Lamb meat, USA, Lean, Raw",Meats,143,20.88,5.94,0,0,12,1.91,68,0,0.13,0.23,0,0,0
"Lamb meat, USA, Shoulder, Raw",Meats,264,16.58,21.45,0,0,16,1.5,61,0,0.11,0.21,0,0,0
"Lamb meat, USA, Shoulder, Boiled",Meats,344,28.68,24.55,0,0,25,2.4,75,0,0.07,0.22,0,0,0
"Lamb meat, USA, Shoulder, Oven-roasted",Meats,276,22.51,19.97,0,0,20,1.97,66,0,0.09,0.24,0,0,0
"Lamb edible offal, USA, Liver, Raw",Meats,139,20.38,5.02,1.78,0,7,7.37,70,7391,0.34,3.63,4,0,0
"Lamb edible offal, USA, Liver, Boiled",Meats,220,30.57,8.81,2.53,0,8,8.28,56,7491,0.23,4.03,4,0,0
"Goat meat, Raw",Meats,178,19.88,10.31,0,0,10,2.73,70,5,0.101,0.172,1.51,185.19,12
"Goat meat, Boiled",Meats,247,29.39,13.51,0,0,15,3.83,39,5,0.034,0.335,0.5,278.07,17.25
"Goat meat, Imported, Raw",Meats,107,21.9,1.5,0.2,0,7,3.8,45,3,0.07,0.28,1,94,17
"Duck meat, With skin, Raw",Meats,242,16.63,18.99,0,0,16,1.56,70,35,0.069,0.01,0.23,3212.46,162.9
"Duck meat, Lean, Raw",Meats,117,21,3.07,0,0,11,2.61,83,11,0.203,0.103,0.45,475.85,18.91
"Duck meat, Wild duck, Raw",Meats,257,14.4,21.6,0.2,0,15,1.8,48,0,0.21,0.23,0,0,0
"Duck meat, Domesticated duck, Raw",Meats,318,16,27.6,0.1,0,15,1.7,85,0,0.21,0.31,2,0,0
"Duck meat, Domesticated duck, Lean, Raw",Meats,149,17.7,8.1,0,0,12,2.2,80,42,0.22,0.2,0,0,0
"Softshell turtle(Amyda sinensis), Imported, Raw",Meats,197,16.4,13.4,0.5,0,18,0.9,69,94,0.91,0.41,1,910,550
"Turkey meat, USA, Raw",Meats,143,21.64,5.64,0.13,0,11,0.86,112,17,0.048,0.185,0,1075,66
"Turkey meat, USA, Boiled",Meats,203,27.37,10.4,0,0,28,1.52,78,24,0.077,0.211,0,2508,136
"Turkey meat, USA, Roasted",Meats,189,28.55,7.39,0.06,0,14,1.09,103,12,0.045,0.281,0,1841,105
"Rabbit meat, Domesticated, Raw",Meats,135,21.7,4.4,0.6,0,12,2.4,56,6,0.07,0.11,0,0,0
"Rabbit meat, Domesticated, Boiled",Meats,173,33.02,3.51,0,0,18,4.85,45,0,0.02,0.07,0,0,0
"Horse, meat, lean, raw",Meats,110,20.1,2.5,0.3,0,11,4.3,50,9,0.1,0.24,1,180,91
"Egg, Goose, Raw",Eggs,193,13.2,14.1,0.8,0,41,2.5,45,171.5,0.15,0.48,0,0,0
"Egg, Goose, Boiled",Eggs,187,12.7,13.6,1,0,41,2.5,45,172.5,0.06,0.32,0,0,0
"Egg, Wild goose, Whole, Raw",Eggs,193,12.3,13.9,2.4,0,78,3.3,143,185,0.13,0.33,0,0,0
"Egg, Wild goose, Whole, Boiled",Eggs,212,13.1,14.9,4,0,77,2.6,138,185,0.07,0.38,0,0,0
"Egg, Whole, Raw",Eggs,136,12.44,7.37,3.41,0,52,1.8,131,136,0.078,0.469,0,1094.49,24.2
"Egg, Powder",Eggs,376,82.4,0.04,4.47,0,89,0.24,1238,0,0.037,2.316,0,0,0
"Egg, Whole, Boiled",Eggs,143,13.94,7.97,2.19,0,52,1.77,140,56.41666667,0.073,0.555,0,1159.79,31.52
"Egg, White, Raw",Eggs,51,10.87,0.02,1.03,0,5,0,171,0,0,0.41,0,2.53,0
"Egg, White, Boiled",Eggs,48,10.8,0,0.4,0,7,0.1,167,0,0.01,0.4,0,0,0
"Egg, Yolk, Raw",Eggs,318,14.7,23.45,9.32,0,151,5.24,57,432,0.22,0.475,0,3615.48,72.7
"Egg, Yolk, Boiled",Eggs,362,15.5,30.5,2.1,0,140,5.4,32,458.5,0.14,0.4,0,0,0
"Egg, Whole, Fertile, Raw",Eggs,156,10.9,8.4,8.1,0,63,2.9,163,451.0833333,0.18,0.45,0,0,0
"Egg, White, Fertile, Raw",Eggs,50,8.5,0,3.6,0,7,0.4,153,159.3333333,0.05,0.43,0,0,0
"Egg, Yolk, Fertile, Raw",Eggs,333,14.4,20.3,21.7,0,122,5.6,138,295,0.34,0.76,0,0,0
"Egg, Whole, Pan-Fried",Eggs,206,15.12,13.46,3.79,0,72,2.27,162,140,0.069,0.513,0,3464.69,292.03
"Hen's egg, Poached egg",Eggs,164,12.3,11.7,0.2,0,55,2.2,110,160.25,0.06,0.4,0,1500,49
"Hen's egg, Scrambled egg",Eggs,149,9.99,10.98,1.61,0,66,1.31,145,161.1666667,0.04,0.376,0,0,0
"Egg, Quail, Raw",Eggs,157,12.81,10.05,2.02,0,70,2.81,128,139,0.178,0.588,0,1169.02,29.05
"Egg, Quail, Boiled",Eggs,156,12.2,9.75,3.1,0,63,2.63,123,141,0.132,0.429,0,1197.4,29.23
"Egg, Duck, Raw",Eggs,193,12.5,14,2,0,64,2.6,131,205.8333333,0.21,0.4,0,0,0
"Egg, Duck, Pidan",Eggs,175,13.4,12.2,0.5,0,68,3.5,850,0,0.02,0.2,0,0,0
"Egg, Mallard, Raw",Eggs,178,13.6,12.3,1,0,61,3.1,0,0,0.23,0.38,0,0,0
"Skipjack tuna(Katsuwonus pelamis), Raw",Fish and shellfish and other seafood,128,25.9,1.8,0.3,0,15,1.8,44,12,0.21,0.17,1,0,0
"Skipjack tuna(Katsuwonus pelamis), Canned in oil",Fish and shellfish and other seafood,168,29,4.8,0.3,0,21,8,800,0,0.02,0.06,0,0,0
"Skipjack tuna(Katsuwonus pelamis), Boiled, broth",Fish and shellfish and other seafood,0,0,0,0,0,2,0.4,0,0,0,0,0,0,0
"White-tipped mackerel scad(Decapterus maruadsi), Raw",Fish and shellfish and other seafood,78,14.8,1.3,0.7,0,35,1.7,0,0,0,0,0,0,0
"Snakehead(Channa argus), Raw",Fish and shellfish and other seafood,86,18.2,0.8,0.3,0,71,1.1,86,10,0.08,0.12,1,0,0
"Sunrise sculpin(Pseudoblennius cottoides), Raw",Fish and shellfish and other seafood,102,22.4,0.7,0,0,46,1.7,20,6,0.05,0.12,0,0,0
"Ray, Seasoned and dried",Fish and shellfish and other seafood,312,39.3,0.6,35.8,0,160,11.2,0,0,0.03,0.02,0,0,0
"Ray, Butterfly ray(Gymnura japonica), Raw",Fish and shellfish and other seafood,80,17.3,0.7,0,0,882,1.2,0,0,0.04,0.09,0,0,0
"Ray, Red sting ray(Dasyatis akajei), Raw",Fish and shellfish and other seafood,98,21.6,0.6,0,0,227,0.8,254,0,0.06,0.16,0,0,0
"Ray, Thorn back ray(Platyrhina sinensis), Raw",Fish and shellfish and other seafood,99,22.2,0.5,0,0,685,1.3,0,3,0.03,0.06,0,0,0
"Ray, Electric ray(Narke japonica), Raw",Fish and shellfish and other seafood,65,13,1,0,0,67,1.2,0,3,0.02,0.12,0,0,0
"Flounder, Raw",Fish and shellfish and other seafood,129,22.1,3.7,0.3,0,40,0.7,230,8,0.18,0.26,2,0,0
"Yellowfin sole(Limanda aspera), Raw",Fish and shellfish and other seafood,84,16.8,1.4,0,0,44,1.2,0,5,0.11,0.15,0,0,0
"Willowy flounder(Tanakius kitaharai), Raw",Fish and shellfish and other seafood,91,18.3,1.3,0.2,0,22,1.9,0,0,0,0,0,0,0
"Blackfin flounder(Glyptocephalus stelleri), Raw",Fish and shellfish and other seafood,84,18.2,0.4,0.7,0,51,0.6,0,0,0,0,0,0,0
"Rikuzen sole(Dexistes rikuzenius), Raw",Fish and shellfish and other seafood,94,19.4,1.1,0.3,0,55,0.6,0,0,0,0,0,0,0
"Stone flounder(Kareius bicoloratus), Raw",Fish and shellfish and other seafood,91,20,0.6,0,0,11,0.2,185,9,0.08,0.3,1,0,0
"Marbled sole(Pleuronectes yokohamae), Raw",Fish and shellfish and other seafood,93,19.9,0.7,0.5,0,16,0.3,0,14,0.21,0.33,1,0,0
"Spotted halibut(Verasper variegatus), Raw",Fish and shellfish and other seafood,83,18.2,0.2,0.8,0,18,0.2,0,6,0.1,0.21,1,0,0
"Dusky sole(Lepidopsetta mochigarei Snyder), Raw",Fish and shellfish and other seafood,84,16.8,1.4,0,0,44,1.2,0,6,0.11,0.15,0,0,0
"Sohachi Flounder(Cleisthenes pinetorum), Raw",Fish and shellfish and other seafood,83,18.1,0.6,0.1,0,48,4,0,0,0,0,0,0,0
"Roughscale sole(Clidoderma asperrimum), Raw",Fish and shellfish and other seafood,77,17.4,0.2,0.2,0,50,0.6,178,4,0.09,0.29,1,0,0
"Littlemouth flounder(Pleuronectes herzensteini), Raw",Fish and shellfish and other seafood,86,19.4,0.2,0.4,0,21,0.5,0,3,0.18,0.33,1,0,0
"Hair tail(Trichiurus lepturus), Raw",Fish and shellfish and other seafood,147,18.5,7.5,0.1,0,46,1,100,20,0.13,0.11,1,0,0
"Hair tail(Trichiurus lepturus), Salted",Fish and shellfish and other seafood,186,26.3,8.1,0.1,0,104,1.8,2056,0,0.15,0.25,0,0,0
"Pacific needlefish(Strongylura anastomella), Raw",Fish and shellfish and other seafood,98,19.8,1.3,0.4,0,28,0.5,0,0,0,0,0,0,0
"Channel scabbardfish(Evoxymetopon taeniatus), Raw",Fish and shellfish and other seafood,121,20,3.9,0,0,0,0,0,0,0,0,0,0,0
"Hair tail(Trichiurus lepturus), Salted and fermented",Fish and shellfish and other seafood,179,10.4,14.9,0,0,10,12.6,0,0,0,0,0,0,0
"Collichthys niveatus, Raw",Fish and shellfish and other seafood,108,17,3.9,0.1,0,51,1.3,0,11,0.05,0.1,1,0,0
"Collichthys niveatus, Salted and fermented",Fish and shellfish and other seafood,106,14,5.1,0,0,730,10.1,0,0,0.12,0.29,0,0,0
"Japanese bluefish(Scombrops boops), Raw",Fish and shellfish and other seafood,156,20.8,7.5,0,0,44,0.8,85,14,0.05,0.2,0,0,0
"Japanese bluefish(Scombrops boops), Boiled",Fish and shellfish and other seafood,173,22.2,8.4,0,0,49,0.6,80,11,0.04,0.16,0,46,17
"Mackerel(Scomber japonicus), Raw",Fish and shellfish and other seafood,180,20.2,10.4,0,0,26,1.6,75,23,0.18,0.46,1,0,0
"Mackerel(Scomber japonicus), Semi-dried",Fish and shellfish and other seafood,348,18.7,28.5,0.2,0,25,2,680,9,0.13,0.59,0,300,250
"Mackerel(Scomber japonicus), Boiled",Fish and shellfish and other seafood,309,22.6,22.6,0.3,0,7,1.3,94,31,0.25,0.3,0,200,120
"Mackerel(Scomber japonicus), Roasted",Fish and shellfish and other seafood,318,25.2,22.4,0.4,0,10,1.6,120,34,0.3,0.37,0,200,130
"Mackerel(Scomber japonicus), Canned",Fish and shellfish and other seafood,159,16.3,9.9,0.1,0,167,1.1,890,32,0.08,0.26,0,0,0
"Mackerel(Scomber japonicus), Salted",Fish and shellfish and other seafood,251,18.99,16.14,6.36,0,31,1.09,340,5,0.112,0.186,5.73,280.11,183.19
"Mackerel(Scomber japonicus), Southern ocean of Korea, Raw",Fish and shellfish and other seafood,210,21.06,13.34,0,0,12,0.71,25,0,0.18,0.46,1,148.7,69.8
"Mackerel(Scomber japonicus), Western ocean of Korea, Raw",Fish and shellfish and other seafood,278,20.26,21.23,0,0,13,1.02,30,0,0.18,0.46,1,209,134
"Fringed blenny(Chirolophis japonicus), Raw",Fish and shellfish and other seafood,74,17.2,0.1,0,0,84,0.6,0,14,0.06,0.1,1,0,0
"Belted beard grunt(Hapalogenys mucronatus), Raw",Fish and shellfish and other seafood,103,18.5,2.6,0.2,0,50,1.1,0,21,0.15,0.2,1,0,0
"Spined loach(Cobitis sinensis), Raw",Fish and shellfish and other seafood,106,17.5,3.3,0.5,0,672,2.7,0,219,0.07,0.18,2,0,0
"Sandlance(Ammodytes personatus), Raw",Fish and shellfish and other seafood,113,16,4.8,0.3,0,338,13.3,120,75,0.12,0.16,1,0,0
"Sandlance(Ammodytes personatus), Boiled and dried",Fish and shellfish and other seafood,245,43.1,6.1,1.5,0,740,6.6,2800,10,0.27,0.18,0,29,21
"Japanese aucha perch(Coreoperca kawamebari), Raw",Fish and shellfish and other seafood,93,19.5,1,0.1,0,18,1.1,0,8,0.14,0.1,1,0,0
"Red barracuda(Sphyraena pinguis), Raw",Fish and shellfish and other seafood,97,20.5,0.8,0.7,0,17,0.9,0,5,0.13,0.1,1,0,0
"Tanakas snailfish(Liparis tanakai), Raw",Fish and shellfish and other seafood,71,16.4,0.1,0,0,11,0.5,0,0,0,0,0,0,0
"Pacific saury(Cololabis saira), Raw",Fish and shellfish and other seafood,141,22.7,4.7,0.4,0,42,1.7,80,21,0.02,0.28,1,0,0
"Pacific saury(Cololabis saira), Dried",Fish and shellfish and other seafood,175,22.7,8.6,0,0,33,17.5,0,0,0,0,0,0,0
"Pacific saury(Cololabis saira), Roasted",Fish and shellfish and other seafood,270,23.9,17.9,0.2,0,37,1.7,130,11,0,0.3,0,180,130
"Pacific saury(Cololabis saira), Salted",Fish and shellfish and other seafood,175,20.1,9.8,0.2,0,26,8,4300,0,0.04,0.11,0,0,0
"Pacific saury(Cololabis saira), Seasoned, Canned",Fish and shellfish and other seafood,183,19,10.3,2.4,0,286,8,500,2,0.09,0.14,0,0,0
"Flying fish(Cypselurus agoo agoo), Raw",Fish and shellfish and other seafood,100,22.2,0.5,0.1,0,20,0.9,0,5,0.02,0.11,0,0,0
"Flyingfish(Cypselurus agoo agoo), Salted",Fish and shellfish and other seafood,124,26.4,1.3,0,0,0,240,4,0,0,0,0,0,0
"Flyingfish(Cypselurus agoo agoo) edible offal, Roe, Raw",Fish and shellfish and other seafood,96,10.2,2.2,8.3,0,14,1.2,1305,0,0.02,0.01,1,0,0
"Flat bitterling(Acheilognathus rhombeus), Raw",Fish and shellfish and other seafood,86,17.5,1.2,0.1,0,51,1.2,0,6,0.09,0.12,2,0,0
"Bastard halibut(Paralichthys olivaceus), Raw",Fish and shellfish and other seafood,125,22.36,3.28,0,0,61,0.45,49,0,0.09,0.12,0,56.3,13.8
"Bastard halibut(Paralichthys olivaceus) edible offal, Skin, Raw",Fish and shellfish and other seafood,168,29.3,4.7,0,0,15,7.7,0,0,0,0,0,0,0
"Redbelt monoclebream(Parascolopsis inermis), Raw",Fish and shellfish and other seafood,83,19.2,0.1,0.1,0,40,0.6,0,6,0.15,0.2,0,0,0
"Bensasi goatfish(Upeneus japonicus), Raw",Fish and shellfish and other seafood,238,7.1,19.5,8.3,0,65,1.4,0,0,0.23,0.01,0,0,0
"Spottybelly greenling(Hexagrammos agrammus), Raw",Fish and shellfish and other seafood,90,17.5,1.3,0.8,0,42,2.9,0,8,0.12,0.09,1,0,0
"Masked greenling(Hexagrammos octogrammus), Raw",Fish and shellfish and other seafood,86,17.5,1.2,0,0,67,1.8,0,9,0.05,0.1,0,0,0
"Fat greenling(Hexagrammos otakii), Raw",Fish and shellfish and other seafood,119,21,3,0.5,0,26,0.3,0,6,0.2,0.24,1,0,0
"Motleystripe rainbowfish(Nemalion pulvinatum), Raw",Fish and shellfish and other seafood,107,19.2,2.8,0,0,34,1.1,0,14,0.1,0.13,0,0,0
"Golden-spot hogfish(Bodianus oxycephalus), Raw",Fish and shellfish and other seafood,104,20.3,1.9,0,0,35,1.5,0,8,0.11,0.14,0,0,0
"Multicolorfin rainbowfish(Parajulis poecilepterus), Raw",Fish and shellfish and other seafood,86,19.3,0.2,0.4,0,37,2.6,0,8,0.12,0.15,1,0,0
"Bambooleaf wrasse(Pseudolabrus japonicus), Raw",Fish and shellfish and other seafood,98,18.9,1.9,0.1,0,34,1.1,0,3,0.05,0.1,1,0,0
"Common sea bass(Lateolabrax japonicus), Raw",Fish and shellfish and other seafood,96,18.2,1.9,0.2,0,58,1.5,108,36,0.18,0.13,1,0,0
"Common sea bass(Lateolabrax japonicus), Roasted",Fish and shellfish and other seafood,124,23.63,2.56,0,0,13,0.37,87,64,0.13,0.15,0,0,0
