name,ingredient,weight,category,note
,Sesame oil,1.2,,
S potato cheese porridge,"Potato, Daeji, Raw",15,Soup (snack),Korean
,"Cheese, Cheddar",5,,
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",20,,
S drie black sesame porridge,"Sesame seeds, Black sesame, Dried",11,Soup (snack),Korean
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",25,,
S black soy porridge,"Rice, White, Raw",25,Soup (snack),Korean
,"Soybean(Glycine max (L.) Merr.), Black beans, Seoritae, Dried",10,,
,Sesame oil,0.5,,
,"Salt, Refined salt",0.2,,
S black soy milk porridge,"Soybean(Glycine max (L.) Merr.), Black beans, Seoritae, Dried",10,Soup (snack),Korean
,"Soymilk, Soybean",30,,
,"Rice, White, Raw",25,,
S crab meat porridge,"Imitation crab meat, Stick, Raw",15,Soup (snack),Korean
,Sesame oil,1.2,,
,"Onion, Raw",5,,
,"Carrot, Roots, Raw",5,,
,"Rice, White, Raw",25,,
S soft crab porridge,"Rice, White, Raw",25,Soup (snack),Korean
,"Tanner crab(Chionoecetes opilio), Boiled",15,,
,"Carrot, Roots, Raw",5,,
,"Onion, Raw",5,,
,"Welsh onion, Raw",2,,
,Sesame oil,1.2,,
,"Salt, Table salt",0.2,,
S soft crab veggie soup,"Tanner crab(Chionoecetes opilio), Boiled",20,Soup (snack),Korean
,"Onion, Raw",10,,
,Butter,3,,
,"Wheat flour, White, All-purpose",5,,
,"Carrot, Roots, Raw",5,,
,"Egg, Whole, Raw",30,,
S soft crab cheese porridge,"Tanner crab(Chionoecetes opilio), Boiled",15,Soup (snack),Korean
,"Onion, Raw",5,,
,Sesame oil,0.5,,
,"Carrot, Roots, Raw",5,,
,"Cheese, Cheddar",5,,
,"Rice, White, Raw",25,,
S nuts porridge,"Walnut(Juglans regia L.), Dried",3,Soup (snack),Korean
,"Salt, Table salt",0.2,,
,"Almond, Dried",3,,
,"Rice, White, Raw",25,,
S sweet potato tofu porridge,"Sweet potato, Dry and firm type, Raw",15,Soup (snack),Korean
,"Tofu, Firm",10,,
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",20,,
S sweet potato soup,"Sweet potato, Dry and firm type, Raw",20,Soup (snack),Western
,"Wheat flour, White, All-purpose",5,,
,"Onion, Raw",10,,
,Butter,5,,
,"Salt, Table salt",0.2,,
,"Pepper(Piper nigrum L.), Black, Powder",0.1,,
,Cow's milk,50,,
S sweet potato porridge,"Rice, White, Raw",20,Soup (snack),Korean
,"Sweet potato, Dry and firm type, Raw",15,,
,Sesame oil,1.2,,
,"Salt, Table salt",0.2,,
S sweet potato bokchoy porridge,"Sweet potato, Dry and firm type, Raw",15,Soup (snack),Korean
,"Chinese cabbage(Brassica campestris var. chinensis), Raw",10,,
,"Salt, Table salt",0.2,,
,Sesame oil,1.2,,
,"Rice, White, Raw",20,,
S sweet potato porridge with milk,"Sweet potato, Dry and firm type, Raw",15,Soup (snack),Korean
,"Rice, White, Raw",20,,
,"Salt, Table salt",0.2,,
,Cow's milk,50,,
S chard miso porridge,"Chard(Beta vulgaris L. var. cicla L.), Raw",15,Soup (snack),Korean
,"Doenjang, Korean traditional type",1,,
,"Onion, Raw",5,,
,Sesame oil,1.2,,
,"Pumpkin(Cucurbita moschata), Young pumpkin, Raw",5,,
,"Rice, White, Raw",25,,
S chard porridge,"Chard(Beta vulgaris L. var. cicla L.), Raw",15,Soup (snack),Korean
,"Salt, Table salt",0.2,,
,"Onion, Raw",5,,
,Sesame oil,1.2,,
,"Carrot, Roots, Raw",5,,
,"Rice, White, Raw",25,,
S sweet rice porridge with seaweed flakes,"Laver(Porphyra tenera), For Gimbap, Dried",1,Soup (snack),Korean
,Sesame oil,1.2,,
,"Onion, Raw",5,,
,"Carrot, Roots, Raw",5,,
,"Potato, Daeji, Raw",10,,
,"Glutinous rice, Raw",10,,
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",10,,
S veggie porridge with seaweed flakes,"Laver(Porphyra tenera), For Gimbap, Dried",1,Soup (snack),Korean
,Sesame oil,1.2,,
,"Salt, Table salt",0.2,,
,"Onion, Raw",5,,
,"Carrot, Roots, Raw",5,,
,"Potato, Daeji, Raw",10,,
,"Pumpkin(Cucurbita moschata), Young pumpkin, Raw",5,,
,"Rice, White, Raw",20,,
S kimchi rice crust porridge,"Kimchi, Baechukimchi(Chinese cabbage)",15,Soup (snack),Korean
,"Rice, White, Raw",25,,
S kimchi porridge,"Rice, White, Raw",25,Soup (snack),Korean
,"Kimchi, Baechukimchi(Chinese cabbage)",15,,
,Sesame oil,1.2,,
,"Salt, Table salt",0.2,,
S kimchi cheese porridge,"Kimchi, Baechukimchi(Chinese cabbage)",15,Soup (snack),Korean
,"Cheese, Cheddar",5,,
,"Salt, Table salt",0.2,,
,"Rice, White, Raw",25,,
